"","psraid","sample","segment","int_date","lang","scregion","sstate"
"89",206753,2,2,42216,1,3,51
"90",202722,2,2,31916,1,3,24
"91",206189,2,2,50416,1,4,4
"92",208659,2,2,50216,1,3,22
"93",203844,2,2,32616,1,4,6
"94",207377,2,2,42616,1,1,34
"95",400633,2,4,50116,1,3,22
"96",101060,1,1,42316,1,1,42
"97",400631,2,4,50116,1,3,51
"98",103490,1,1,50116,1,2,17
"99",200909,2,2,30416,1,1,25
"100",200055,2,2,22916,1,3,48
"101",201153,2,2,30616,1,1,42
"102",103660,1,1,50816,1,4,6
"103",202042,2,2,31216,1,3,12
"104",205809,2,2,41216,1,3,48
"105",206046,2,2,41616,1,2,29
"106",203144,2,2,32116,1,3,24
"107",207534,2,2,42716,1,1,34
"108",204444,2,2,33116,1,3,12
"109",201652,2,2,31016,1,3,47
"110",204272,2,2,33016,1,1,25
"111",200520,2,2,30216,1,3,47
"112",201257,2,2,30816,1,4,30
"113",206047,2,2,41616,2,2,29
"114",101626,1,1,31016,1,2,26
"115",400089,2,4,30416,1,3,48
"116",206877,2,2,42716,1,3,48
"117",206526,2,2,42116,1,3,1
"118",400141,2,4,31216,1,3,13
"119",102546,1,1,40316,1,4,6
"120",201327,2,2,30816,1,1,36
"121",205090,2,2,40716,1,2,29
"122",101347,1,1,30616,2,3,48
"123",101845,1,1,32616,1,4,53
"124",400584,2,4,42916,1,2,39
"125",200722,2,2,30316,1,4,6
"126",400221,2,4,41016,1,2,18
"127",400705,2,4,50416,1,3,13
"128",209007,2,2,50316,1,2,39
"129",205748,2,2,41216,1,2,17
"130",207702,2,2,42716,1,4,6
"131",209223,2,2,50416,1,4,6
"132",103675,1,1,50416,1,3,40
"133",201209,2,2,30616,1,3,48
"134",209337,2,2,50516,1,2,18
"135",202459,2,2,31516,2,4,6
"136",100549,1,1,31216,2,1,42
"137",207194,2,2,42816,1,3,48
"138",209638,2,2,50616,2,3,48
"139",207355,2,2,42516,1,4,32
"140",400026,2,4,30216,1,3,13
"141",208695,2,2,50216,1,2,26
"142",208887,2,2,50516,1,4,6
"143",400315,2,4,40316,1,1,36
"144",207959,2,2,50416,2,1,36
"145",204340,2,2,33016,1,2,55
"146",200428,2,2,30216,1,3,48
"147",206571,2,2,42116,1,4,6
"148",204498,2,2,40116,1,3,54
"149",203992,2,2,32716,1,3,22
"150",207751,2,2,42816,1,4,41
"151",206654,2,2,42116,1,3,48
"152",102299,1,1,32216,1,2,26
"153",400492,2,4,42316,1,3,24
"154",205492,2,2,41016,1,4,32
"155",205891,2,2,41316,1,3,12
"156",103130,1,1,43016,1,3,24
"157",202900,2,2,32416,2,4,6
"158",300138,1,3,31016,1,4,6
"159",201055,2,2,30516,1,1,36
"160",201782,2,2,31116,1,2,19
"161",209443,2,2,50416,1,3,48
"162",208168,2,2,43016,1,4,6
"163",400164,2,4,31216,1,3,12
"164",205553,2,2,41016,1,4,6
"165",205993,2,2,41416,1,3,48
"166",203622,2,2,40516,1,3,40
"167",208622,2,2,50216,1,3,13
"168",205012,2,2,41316,1,4,6
"169",102422,1,1,32616,1,4,6
"170",102140,1,1,41716,1,2,55
"171",205603,2,2,42316,1,1,36
"172",206976,2,2,42316,1,3,13
"173",209260,2,2,50416,1,1,36
"174",400421,2,4,41716,1,2,26
"175",208006,2,2,42916,2,4,6
"176",400237,2,4,32016,1,3,28
"177",101023,1,1,30516,1,2,17
"178",102516,1,1,40216,1,3,37
"179",206477,2,2,42116,1,3,13
"180",100407,1,1,30116,1,1,34
"181",204893,2,2,40516,1,3,48
"182",200122,2,2,22916,1,3,28
"183",205204,2,2,40816,1,3,47
"184",200628,2,2,30216,1,4,32
"185",400155,2,4,31116,1,3,24
"186",206226,2,2,41716,1,4,6
"187",101316,1,1,31216,1,4,6
"188",208822,2,2,50816,2,4,6
"189",200282,2,2,22916,1,4,49
"190",204369,2,2,33116,1,1,36
"191",203536,2,2,43016,1,3,1
"192",203031,2,2,32016,1,3,48
"193",205016,2,2,40916,2,1,36
"194",102546,1,1,50816,2,3,37
"195",400428,2,4,43016,1,1,36
"196",207453,2,2,42616,1,3,40
"197",101974,1,1,31716,1,2,17
"198",203200,2,2,32216,1,3,24
"199",100449,1,1,30116,1,3,12
"200",207917,2,2,42816,1,4,6
"201",202166,2,2,40616,1,3,48
"202",204984,2,2,40616,1,3,45
"203",205431,2,2,40916,1,4,35
"204",101197,1,1,30516,1,2,39
"205",201491,2,2,40516,1,2,17
"206",204267,2,2,42016,2,4,6
"207",203015,2,2,32016,1,3,48
"208",204792,2,2,40416,1,4,6
"209",207194,2,2,50316,1,1,36
"210",103051,1,1,42316,1,2,20
"211",208840,2,2,50316,1,3,48
"212",100261,1,1,22916,1,3,48
"213",206360,2,2,41916,1,4,4
"214",400196,2,4,31416,1,3,1
"215",207816,2,2,42816,1,3,48
"216",205505,2,2,41016,1,2,26
"217",205771,2,2,41216,1,3,13
"218",209475,2,2,50416,1,4,6
"219",203572,2,2,32516,1,3,24
"220",208143,2,2,43016,1,1,25
"221",103189,1,1,43016,1,3,48
"222",203331,2,2,32316,1,4,6
"223",205136,2,2,40716,1,4,6
"224",103047,1,1,42316,1,2,20
"225",103219,1,1,50216,1,3,12
"226",102146,1,1,31916,1,4,32
"227",200259,2,2,22916,1,2,29
"228",206534,2,2,42116,1,1,42
"229",100744,1,1,31216,1,2,27
"230",206753,2,2,42216,1,2,39
"231",207602,2,2,42716,1,2,39
"232",400541,2,4,42916,1,2,18
"233",202857,2,2,31916,1,4,4
"234",201352,2,2,30816,1,3,48
"235",103545,1,1,50216,1,2,17
"236",102072,1,1,40916,1,4,6
"237",203697,2,2,32616,1,3,21
"238",203006,2,2,32016,1,2,20
"239",101576,1,1,31016,1,1,36
"240",100868,1,1,30316,1,2,17
"241",300327,1,3,50616,1,3,47
"242",204467,2,2,40116,1,2,17
"243",200090,2,2,22916,1,3,37
"244",208541,2,2,50216,1,2,39
"245",300197,1,3,31316,1,3,37
"246",102716,1,1,41716,1,4,6
"247",207147,2,2,42416,1,3,5
"248",202285,2,2,31416,1,3,13
"249",400584,2,4,42916,1,4,6
"250",207079,2,2,42316,1,3,47
"251",400211,2,4,31416,1,3,48
"252",206655,2,2,42216,1,4,53
"253",207515,2,2,50816,1,1,36
"254",102128,1,1,50316,1,3,28
"255",206263,2,2,41716,1,3,45
"256",207949,2,2,42916,1,2,17
"257",204492,2,2,40116,1,2,26
"258",203822,2,2,32616,1,3,48
"259",206086,2,2,41516,1,4,35
"260",205547,2,2,41016,1,4,6
"261",206513,2,2,42116,1,3,13
"262",204865,2,2,40516,2,2,17
"263",203860,2,2,32616,1,4,6
"264",204916,2,2,40516,1,3,48
"265",200883,2,2,30416,1,3,37
"266",208665,2,2,50216,2,1,42
"267",101500,1,1,31216,2,3,10
"268",204174,2,2,32916,1,2,29
"269",207735,2,2,42716,1,4,8
"270",200783,2,2,30316,1,4,6
"271",101109,1,1,30516,1,2,17
"272",206086,2,2,41516,1,4,6
"273",101732,1,1,31216,1,3,48
"274",400678,2,4,50516,1,3,24
"275",400649,2,4,50116,1,2,18
"276",300089,1,3,30316,1,3,48
"277",201929,2,2,31216,1,1,36
"278",207008,2,2,42316,1,3,47
"279",103172,1,1,43016,1,3,48
"280",203016,2,2,32016,1,3,28
"281",209369,2,2,50416,1,2,17
"282",102331,1,1,32216,1,2,19
"283",208326,2,2,50516,1,2,17
"284",208129,2,2,43016,1,1,36
"285",102814,1,1,43016,1,1,9
"286",101761,1,1,31216,1,3,12
"287",202057,2,2,31316,1,4,53
"288",207698,2,2,42716,1,4,6
"289",400121,2,4,30916,1,1,34
"290",200432,2,2,30216,1,1,36
"291",101034,1,1,30516,1,1,36
"292",103527,1,1,50216,1,1,34
"293",103360,1,1,50216,1,3,37
"294",207309,2,2,42816,2,3,48
"295",101262,1,1,30516,1,2,39
"296",200919,2,2,30416,1,4,35
"297",200991,2,2,30516,1,1,36
"298",203631,2,2,32516,1,3,48
"299",203015,2,2,32016,1,3,48
"300",202111,2,2,31316,1,3,48
"301",205237,2,2,40816,1,1,36
"302",202221,2,2,31316,1,1,34
"303",400220,2,4,31716,1,3,51
"304",300047,1,3,30616,1,1,9
"305",203930,2,2,32716,1,3,12
"306",203179,2,2,32116,1,1,36
"307",103599,1,1,50216,1,2,39
"308",103365,1,1,50116,1,1,34
"309",103009,1,1,42316,1,3,21
"310",204268,2,2,33016,1,1,33
"311",209436,2,2,50416,1,3,45
"312",102543,1,1,40916,1,2,19
"313",209692,2,2,50716,1,3,45
"314",300335,1,3,50516,1,3,12
"315",400237,2,4,32016,1,2,26
"316",201215,2,2,31316,2,3,48
"317",209503,2,2,50416,1,4,6
"318",400676,2,4,50516,1,2,39
"319",204799,2,2,40516,1,4,6
"320",205344,2,2,40916,1,3,37
"321",200625,2,2,30216,1,4,32
"322",200090,2,2,22916,1,3,48
"323",102056,1,1,31716,1,4,6
"324",203663,2,2,42216,1,4,6
"325",202072,2,2,31316,1,4,4
"326",209310,2,2,50416,1,2,17
"327",201173,2,2,30616,1,4,6
"328",209146,2,2,50416,1,1,36
"329",208147,2,2,43016,1,4,6
"330",202742,2,2,31916,1,4,6
"331",400004,2,4,22916,1,3,22
"332",103005,1,1,42316,1,3,1
"333",207788,2,2,42816,1,3,28
"334",204467,2,2,42916,2,4,6
"335",300163,1,3,31116,1,1,36
"336",203459,2,2,32416,1,4,6
"337",400330,2,4,40216,1,3,45
"338",203406,2,2,32316,1,1,44
"339",206992,2,2,42316,1,3,22
"340",300218,1,3,31216,1,1,42
"341",204474,2,2,40116,1,3,24
"342",207748,2,2,42716,1,4,6
"343",209691,2,2,50716,1,3,22
"344",203080,2,2,32316,1,2,17
"345",200565,2,2,30216,1,2,18
"346",206058,2,2,41516,1,1,25
"347",209740,2,2,50816,1,3,54
"348",206235,2,2,41716,1,3,48
"349",204100,2,2,32816,1,2,39
"350",300249,1,3,32016,1,3,12
"351",207167,2,2,42416,1,3,12
"352",102627,1,1,40916,1,4,6
"353",400156,2,4,31116,1,2,39
"354",100423,1,1,32116,1,3,40
"355",203288,2,2,32216,1,1,42
"356",207683,2,2,42716,1,3,12
"357",204195,2,2,32916,1,3,11
"358",208033,2,2,42916,1,4,6
"359",206936,2,2,42316,1,3,1
"360",102156,1,1,31916,1,2,55
"361",203368,2,2,32416,1,3,12
"362",300331,1,3,50516,1,3,13
"363",207359,2,2,42916,2,4,6
"364",209585,2,2,50516,1,1,36
"365",201776,2,2,31116,1,3,28
"366",400131,2,4,30916,1,3,5
"367",208613,2,2,50216,1,2,31
"368",103607,1,1,50316,1,3,48
"369",101345,1,1,30616,1,4,6
"370",102299,1,1,32216,1,2,26
"371",100888,1,1,30316,1,3,48
"372",200844,2,2,30416,1,3,1
"373",207920,2,2,50416,1,4,53
"374",207771,2,2,50416,1,3,12
"375",103338,1,1,50816,1,1,42
"376",100837,1,1,30316,1,3,1
"377",200883,2,2,30416,1,2,18
"378",209326,2,2,50416,1,3,13
"379",207361,2,2,42616,1,3,24
"380",102606,1,1,40916,1,4,6
"381",209102,2,2,50416,1,1,42
"382",208087,2,2,50416,1,4,53
"383",205242,2,2,40816,1,3,48
"384",103013,1,1,42316,1,4,6
"385",205870,2,2,41316,1,3,12
"386",103539,1,1,50216,1,3,48
"387",208180,2,2,43016,1,4,6
"388",101689,1,1,31216,1,3,45
"389",400012,2,4,22916,1,2,39
"390",200034,2,2,30416,1,3,28
"391",205704,2,2,41116,1,4,6
"392",400011,2,4,22916,1,3,1
"393",200566,2,2,50416,1,3,47
"394",300069,1,3,30216,1,3,45
"395",209331,2,2,50416,1,3,1
"396",400009,2,4,22916,1,3,28
"397",400437,2,4,50316,1,3,24
"398",400634,2,4,50116,1,3,45
"399",204412,2,2,33116,1,3,24
"400",205963,2,2,41416,1,1,34
"401",103453,1,1,50116,1,3,45
"402",208186,2,2,43016,1,4,6
"403",203043,2,2,32016,1,3,48
"404",200735,2,2,30316,2,1,34
"405",203015,2,2,32016,1,3,40
"406",205891,2,2,41316,1,3,11
"407",205172,2,2,41116,1,4,6
"408",204514,2,2,40116,1,3,51
"409",206558,2,2,42516,1,1,34
"410",204405,2,2,33116,1,4,53
"411",101442,1,1,30816,1,3,48
"412",206200,2,2,41716,1,3,22
"413",102289,1,1,32216,1,2,39
"414",203323,2,2,50416,2,3,48
"415",209698,2,2,50716,1,1,34
"416",203523,2,2,32416,1,2,26
"417",102516,1,1,40316,1,4,6
"418",400425,2,4,50316,1,3,1
"419",203251,2,2,41216,2,4,6
"420",400436,2,4,43016,1,1,36
"421",202390,2,2,31516,1,3,22
"422",400116,2,4,30916,1,1,34
"423",100136,1,1,30516,1,4,6
"424",206905,2,2,42316,1,3,24
"425",400181,2,4,31716,1,3,47
"426",205585,2,2,41016,1,2,18
"427",206729,2,2,42216,1,3,51
"428",100737,1,1,30316,1,2,27
"429",300075,1,3,30216,1,2,29
"430",100789,1,1,30316,1,3,40
"431",102049,1,1,40216,1,4,6
"432",209449,2,2,50416,1,3,48
"433",204268,2,2,50416,2,4,6
"434",101920,1,1,31616,1,4,6
"435",101213,1,1,30516,1,4,6
"436",103322,1,1,43016,1,4,6
"437",400319,2,4,40216,1,1,34
"438",207365,2,2,42616,1,3,28
"439",205145,2,2,40716,1,4,41
"440",201336,2,2,30816,1,1,34
"441",200252,2,2,22916,1,3,48
"442",202691,2,2,31816,1,4,6
"443",202978,2,2,32016,1,2,55
"444",208865,2,2,50316,1,3,28
"445",206849,2,2,42316,1,2,18
"446",207573,2,2,42716,1,2,17
"447",200844,2,2,30416,1,3,12
"448",300077,1,3,30216,1,3,45
"449",205363,2,2,40916,1,3,12
"450",202390,2,2,31916,1,3,13
"451",300289,1,3,42316,1,3,37
"452",200164,2,2,22916,1,1,34
"453",201415,2,2,31416,1,3,1
"454",203008,2,2,32016,1,3,40
"455",206949,2,2,42316,1,3,13
"456",206195,2,2,41616,1,4,53
"457",103148,1,1,50816,1,3,13
"458",102289,1,1,32216,1,2,55
"459",202684,2,2,31916,1,4,4
"460",206493,2,2,42116,1,1,34
"461",207833,2,2,42816,1,3,12
"462",103028,1,1,42316,1,1,50
"463",400420,2,4,41716,1,3,22
"464",100545,1,1,31216,2,1,36
"465",203629,2,2,32516,1,2,38
"466",101998,1,1,31716,1,3,11
"467",202006,2,2,31216,2,3,48
"468",202972,2,2,41516,1,4,6
"469",100251,1,1,22916,1,3,48
"470",205356,2,2,50516,2,4,6
"471",101217,1,1,30516,1,4,6
"472",205030,2,2,40716,1,1,36
"473",206420,2,2,42016,1,1,36
"474",204520,2,2,40116,1,1,36
"475",207946,2,2,43016,1,2,17
"476",206062,2,2,41516,1,3,28
"477",101500,1,1,30816,1,4,6
"478",206729,2,2,42216,1,2,39
"479",205552,2,2,41016,1,4,6
"480",206391,2,2,42016,1,2,18
"481",300183,1,3,31216,1,2,26
"482",203329,2,2,50416,2,4,6
"483",208126,2,2,43016,1,3,37
"484",103005,1,1,42316,1,4,35
"485",206408,2,2,42016,1,3,28
"486",100565,1,1,30516,1,2,55
"487",101679,1,1,31716,1,3,5
"488",205539,2,2,41016,1,2,17
"489",200232,2,2,22916,1,3,45
"490",205675,2,2,41116,1,3,1
"491",300185,1,3,32016,1,4,6
"492",201224,2,2,31316,2,3,48
"493",204888,2,2,40516,1,4,6
"494",103561,1,1,50816,1,4,4
"495",100728,1,1,30316,1,1,42
"496",103190,1,1,50116,1,3,40
"497",203860,2,2,40516,1,3,48
"498",300147,1,3,31016,1,4,6
"499",103338,1,1,50816,1,4,4
"500",208090,2,2,42916,1,4,4
"501",207512,2,2,42616,1,3,48
"502",207112,2,2,42416,1,2,17
"503",103107,1,1,50316,1,3,12
"504",204655,2,2,40316,2,3,48
"505",200453,2,2,30216,1,2,39
"506",100458,1,1,30116,1,1,34
"507",208812,2,2,50516,1,3,48
"508",205480,2,2,41016,1,4,53
"509",208517,2,2,50416,1,3,48
"510",203599,2,2,32516,1,3,48
"511",205900,2,2,50616,2,3,28
"512",400627,2,4,50116,1,3,24
"513",400639,2,4,50116,1,3,1
"514",201159,2,2,30616,1,4,6
"515",103191,1,1,50116,1,3,40
"516",208812,2,2,50816,2,3,47
"517",200051,2,2,22916,1,3,37
"518",101761,1,1,31216,1,1,34
"519",207267,2,2,42516,1,2,26
"520",100129,1,1,30516,1,4,6
"521",300236,1,3,32016,1,3,47
"522",200644,2,2,30316,1,3,12
"523",100997,1,1,32116,1,1,42
"524",103574,1,1,50216,1,4,6
"525",202635,2,2,31816,1,3,48
"526",202770,2,2,32216,2,3,5
"527",201816,2,2,31116,1,2,17
"528",103148,1,1,50816,1,1,34
"529",100663,1,1,30516,1,4,6
"530",204575,2,2,40216,1,4,6
"531",202675,2,2,40816,1,3,24
"532",203693,2,2,32616,1,4,6
"533",400429,2,4,41716,1,3,51
"534",204712,2,2,40416,1,4,6
"535",205422,2,2,40916,1,3,40
"536",203511,2,2,32416,1,2,39
"537",400108,2,4,30916,1,1,42
"538",203977,2,2,32716,1,2,31
"539",206961,2,2,42616,1,3,48
"540",205981,2,2,41416,1,4,6
"541",208538,2,2,50216,1,1,36
"542",208365,2,2,50416,1,4,53
"543",200695,2,2,30316,1,4,53
"544",209180,2,2,50616,1,2,17
"545",205196,2,2,40816,1,2,26
"546",208601,2,2,50316,1,2,39
"547",205030,2,2,40716,1,1,36
"548",103297,1,1,43016,1,4,35
"549",207728,2,2,42716,1,4,41
"550",205038,2,2,50416,2,4,6
"551",102160,1,1,31916,1,3,22
"552",400240,2,4,31816,1,2,26
"553",203976,2,2,32716,1,2,46
"554",204444,2,2,40916,1,3,12
"555",206716,2,2,42216,1,2,18
"556",207179,2,2,42416,1,3,48
"557",101698,1,1,31216,1,4,6
"558",207628,2,2,42716,1,2,18
"559",300103,1,3,30416,1,3,12
"560",103502,1,1,50116,1,3,13
"561",206271,2,2,41716,1,4,6
"562",101542,1,1,30916,1,3,51
"563",205900,2,2,41316,1,3,12
"564",400413,2,4,41716,1,3,47
"565",101927,1,1,31616,1,4,8
"566",400084,2,4,30416,1,1,42
"567",209479,2,2,50416,1,4,6
"568",207306,2,2,42816,1,1,36
"569",204664,2,2,40316,1,4,6
"570",203642,2,2,32516,1,3,48
"571",103406,1,1,50116,1,3,48
"572",203808,2,2,32616,1,2,46
"573",101185,1,1,30516,1,3,47
"574",300233,1,3,31616,1,1,36
"575",206976,2,2,42316,1,1,42
"576",300095,1,3,30416,1,3,48
"577",400292,2,4,32016,1,3,48
"578",202704,2,2,31816,1,4,6
"579",202116,2,2,31316,1,2,17
"580",300033,1,3,30216,1,3,12
"581",204238,2,2,32916,1,1,34
"582",202884,2,2,31916,1,2,31
"583",203930,2,2,32716,1,3,12
"584",203327,2,2,32216,1,4,6
"585",207550,2,2,42716,1,1,36
"586",101735,1,1,31216,1,3,48
"587",208206,2,2,43016,1,3,48
"588",202173,2,2,31316,1,2,17
"589",100729,1,1,30416,1,3,12
"590",209588,2,2,50516,1,4,6
"591",207227,2,2,50216,1,1,42
"592",204155,2,2,32916,1,1,34
"593",207824,2,2,42816,1,1,36
"594",300003,1,3,22916,1,3,1
"595",202042,2,2,31216,1,3,48
"596",200543,2,2,30216,1,4,32
"597",209016,2,2,50316,1,4,6
"598",201521,2,2,30916,1,3,48
"599",200240,2,2,22916,1,3,37
"600",400388,2,4,41016,1,3,22
"601",201104,2,2,30516,1,1,42
"602",208079,2,2,43016,1,4,6
"603",102302,1,1,32216,1,2,26
"604",206950,2,2,42316,1,2,18
"605",205027,2,2,50516,1,3,13
"606",400423,2,4,42316,1,1,42
"607",200811,2,2,30416,1,3,24
"608",201142,2,2,30616,1,1,42
"609",209337,2,2,50416,1,2,18
"610",201046,2,2,30516,2,4,6
"611",206110,2,2,41616,2,3,48
"612",102519,1,1,40316,1,3,51
"613",203110,2,2,32116,1,3,12
"614",400290,2,4,31916,1,1,36
"615",202973,2,2,32016,1,1,36
"616",200607,2,2,30216,1,4,32
"617",103759,1,1,50816,1,4,6
"618",202400,2,2,31516,1,3,11
"619",100781,1,1,30316,1,1,42
"620",103760,1,1,50816,1,4,16
"621",101739,1,1,31216,1,1,36
"622",203143,2,2,32116,1,1,36
"623",102374,1,1,32616,1,1,34
"624",209169,2,2,50416,1,4,35
"625",207610,2,2,42716,1,3,47
"626",201966,2,2,31216,1,3,13
"627",203870,2,2,41016,1,4,6
"628",101739,1,1,31216,1,3,40
"629",205650,2,2,41116,1,3,47
"630",202952,2,2,32016,1,3,48
"631",400167,2,4,31016,1,2,18
"632",102023,1,1,31716,1,3,12
"633",201351,2,2,30816,1,3,51
"634",100176,1,1,50816,2,3,37
"635",103107,1,1,50216,1,3,13
"636",200556,2,2,30216,1,3,48
"637",204872,2,2,40516,2,2,17
"638",103369,1,1,50116,1,3,48
"639",101644,1,1,41616,2,3,48
"640",204835,2,2,40516,1,1,36
"641",204151,2,2,32916,1,1,36
"642",206537,2,2,42116,1,2,55
"643",206244,2,2,41716,1,2,17
"644",208296,2,2,43016,1,3,48
"645",201436,2,2,31316,2,3,48
"646",205606,2,2,41116,1,2,18
"647",204777,2,2,40416,2,1,34
"648",201960,2,2,31216,1,3,48
"649",100667,1,1,30516,1,4,41
"650",200543,2,2,30216,1,4,6
"651",204388,2,2,40416,1,4,35
"652",201726,2,2,40316,1,3,47
"653",202273,2,2,31916,1,4,6
"654",208561,2,2,50316,1,2,17
"655",207905,2,2,42816,1,4,41
"656",208366,2,2,50116,1,3,12
"657",300239,1,3,32016,1,3,13
"658",206192,2,2,50416,1,3,48
"659",202809,2,2,32216,2,4,6
"660",208451,2,2,50316,1,3,11
"661",200768,2,2,30316,2,1,36
"662",207788,2,2,50616,2,2,17
"663",202400,2,2,31916,1,3,13
"664",204111,2,2,33116,1,3,48
"665",300047,1,3,30816,1,2,39
"666",205559,2,2,41016,1,4,32
"667",200246,2,2,22916,1,2,18
"668",208926,2,2,50316,1,1,36
"669",202280,2,2,31416,1,3,13
"670",200886,2,2,30416,2,3,13
"671",206263,2,2,42216,1,4,6
"672",200340,2,2,50816,1,4,6
"673",203988,2,2,32716,1,3,22
"674",200503,2,2,30216,1,3,24
"675",101259,1,1,30516,1,4,53
"676",203068,2,2,40916,1,4,6
"677",205038,2,2,40716,1,3,45
"678",209475,2,2,50416,1,4,6
"679",400319,2,4,40216,1,1,34
"680",200980,2,2,30516,1,3,48
"681",207698,2,2,42716,1,4,6
"682",202396,2,2,31516,1,2,39
"683",400208,2,4,41016,1,3,24
"684",208879,2,2,50316,1,3,48
"685",209600,2,2,50816,1,3,48
"686",201198,2,2,31516,1,3,13
"687",208937,2,2,50416,1,3,12
"688",205086,2,2,40716,1,3,48
"689",400559,2,4,42916,1,1,42
"690",208619,2,2,50216,1,3,13
"691",205808,2,2,50816,1,3,11
"692",206961,2,2,42516,1,3,11
"693",300150,1,3,32016,1,1,9
"694",300041,1,3,30816,1,4,6
"695",101442,1,1,30816,1,2,39
"696",200966,2,2,31516,1,3,48
"697",203479,2,2,32416,1,2,26
"698",202503,2,2,31516,1,3,13
"699",100215,1,1,31016,1,1,34
"700",206158,2,2,41616,1,2,17
"701",100611,1,1,30516,1,4,4
"702",202312,2,2,31416,1,1,36
"703",201632,2,2,31116,2,1,36
"704",204484,2,2,40116,1,1,34
"705",206599,2,2,42116,1,4,6
"706",202328,2,2,31416,1,2,17
"707",101983,1,1,31716,1,1,36
"708",206477,2,2,42116,1,3,12
"709",206558,2,2,42216,1,3,51
"710",102218,1,1,40916,1,2,55
"711",202375,2,2,31416,1,4,6
"712",101323,1,1,31616,1,3,12
"713",400634,2,4,50316,1,3,12
"714",200691,2,2,31016,1,1,25
"715",206849,2,2,42316,1,3,22
"716",102447,1,1,40216,1,3,13
"717",200767,2,2,31216,2,4,6
"718",204390,2,2,33116,1,4,35
"719",204580,2,2,40216,1,3,22
"720",203222,2,2,32216,1,1,36
"721",205375,2,2,40916,1,1,34
"722",205268,2,2,40816,1,4,32
"723",208750,2,2,50316,1,1,42
"724",207873,2,2,42816,1,1,34
"725",200951,2,2,30516,1,3,48
"726",201194,2,2,31516,1,3,48
"727",400351,2,4,40916,1,3,12
"728",100494,1,1,30116,1,3,37
"729",205649,2,2,41116,1,3,54
"730",102050,1,1,31916,1,4,6
"731",205086,2,2,40716,1,3,48
"732",203145,2,2,32116,1,2,17
"733",208011,2,2,42916,1,4,8
