"ID";"Nationality";"Periods";"TotalResidencePermitsAsylum_1";"RefugeeStatusBeneficiaryStatus_2";"HumanitarianReasons_3";"TotalOrdinaryResidencePermit_4";"TotalFamilyReunificationFormation_5";"HusbandWife_6";"ChildUnder18_7";"OtherFamilyReunification_8";"Study_9";"TotalLabour_10";"HighlySkilledMigrantBlueCardHolder_11";"Researcher_12";"OtherLabour_13";"VictimOfHumanTrade_14";"OtherOrdinary_15";"SinglePermitGVVA_16"
"18";"NAT9278  ";"2013JJ00";"     715";"     415";"     300";"     420";"     355";"     190";"     105";"      60";"      20";"       5";"       0";"       0";"       0";"       0";"      40";""
"19";"NAT9278  ";"2014JJ00";"     585";"     400";"     185";"     340";"     305";"     175";"      90";"      45";"      10";"       0";"       0";"       0";"       0";"       0";"      25";""
"20";"NAT9278  ";"2015JJ00";"     500";"     355";"     145";"     345";"     280";"     150";"      80";"      50";"      20";"       5";"       0";"       0";"       0";"       0";"      40";""
"21";"NAT9278  ";"2016JJ00";"     700";"     530";"     175";"     370";"     320";"     185";"      90";"      50";"      15";"       0";"       0";"       0";"       0";"       0";"      35";""
"22";"NAT9278  ";"2017JJ00";"     880";"     635";"     245";"     425";"     355";"     145";"      85";"     120";"      15";"       0";"       0";"       0";"       0";"       0";"      55";""
"23";"NAT9278  ";"2018JJ00";"     630";"     305";"     325";"     675";"     585";"     235";"      90";"     260";"      20";"       0";"       0";"       0";"       0";"       0";"      70";""
"24";"NAT9278  ";"2019JJ00";"     360";"     195";"     165";"     590";"     465";"     170";"     120";"     175";"      10";"       5";"       5";"       0";"       0";"       0";"     110";""
"25";"NAT9278  ";"2020JJ00";"     375";"     230";"     150";"     425";"     375";"     165";"     100";"     115";"      20";"       5";"       0";"       0";"       0";"       0";"      25";""
"26";"NAT9279  ";"2008JJ00";"       0";"       0";"       0";"     125";"      60";"      20";"       5";"      35";"      25";"      10";"      10";"       0";"       0";"       0";"      30";""
"27";"NAT9279  ";"2009JJ00";"       0";"       0";"       0";"     125";"      70";"      15";"       5";"      50";"      40";"       5";"       5";"       0";"       0";"       0";"       5";""
"28";"NAT9279  ";"2010JJ00";"       0";"       0";"       0";"     105";"      55";"      15";"       5";"      35";"      35";"       5";"       5";"       0";"       0";"       0";"       5";""
"29";"NAT9279  ";"2011JJ00";"       0";"       0";"       0";"      85";"      45";"      10";"       5";"      25";"      40";"       5";"       0";"       5";"       0";"       0";"       0";""
"30";"NAT9279  ";"2012JJ00";"       0";"       0";"       0";"     120";"      55";"      15";"       5";"      40";"      55";"      10";"       5";"       5";"       0";"       0";"       0";""
"31";"NAT9279  ";"2013JJ00";"       0";"       0";"       0";"     155";"      75";"      25";"      35";"      15";"      50";"      10";"       5";"       5";"       0";"       0";"      15";""
"32";"NAT9279  ";"2014JJ00";"       0";"       0";"       0";"     175";"      40";"      20";"      15";"      10";"      80";"      15";"      10";"       5";"       5";"       0";"      35";""
"33";"NAT9279  ";"2015JJ00";"       5";"       0";"       5";"     180";"      25";"      20";"       0";"       5";"      75";"      15";"      10";"       0";"       5";"       5";"      60";""
"34";"NAT9279  ";"2016JJ00";"       5";"       0";"       0";"     235";"      45";"      20";"      15";"      10";"     105";"      20";"      15";"       0";"       5";"       0";"      60";""
"35";"NAT9279  ";"2017JJ00";"       0";"       0";"       0";"     255";"      65";"      25";"      15";"      25";"      95";"      35";"      25";"       5";"       5";"       0";"      60";""
"36";"NAT9279  ";"2018JJ00";"       5";"       0";"       0";"     265";"      75";"      40";"      20";"      15";"      85";"      35";"      25";"       5";"       5";"       0";"      75";""
"37";"NAT9279  ";"2019JJ00";"       5";"       5";"       5";"     350";"     120";"      60";"      35";"      30";"      95";"      45";"      30";"       0";"      15";"       0";"      90";""
"38";"NAT9279  ";"2020JJ00";"       0";"       0";"       0";"     245";"      80";"      35";"      25";"      20";"      85";"      25";"      15";"       5";"       5";"       0";"      55";""
"39";"NAT9280  ";"2008JJ00";"       0";"       0";"       0";"     255";"      50";"      25";"      10";"      15";"       0";"      15";"      10";"       0";"       0";"       0";"     190";""
"40";"NAT9280  ";"2009JJ00";"       0";"       0";"       0";"     100";"      55";"      35";"      10";"      10";"       0";"      10";"       5";"       5";"       0";"       0";"      35";""
"41";"NAT9280  ";"2010JJ00";"       0";"       0";"       0";"      70";"      50";"      30";"       5";"      15";"       5";"       5";"       5";"       0";"       0";"       0";"      10";""
"42";"NAT9280  ";"2011JJ00";"       0";"       0";"       0";"      75";"      50";"      20";"      20";"      10";"       0";"      15";"      15";"       0";"       0";"       0";"       5";""
"43";"NAT9280  ";"2012JJ00";"       0";"       0";"       0";"      65";"      50";"      25";"      15";"      10";"       5";"      10";"      10";"       0";"       0";"       0";"       0";""
"44";"NAT9280  ";"2013JJ00";"       5";"       0";"       0";"      85";"      60";"      30";"      25";"       5";"       5";"      10";"      10";"       5";"       0";"       0";"       5";""
"45";"NAT9280  ";"2014JJ00";"       5";"       5";"       0";"      70";"      45";"      30";"      15";"       5";"       0";"      15";"      10";"       5";"       0";"       0";"      10";""
"46";"NAT9280  ";"2015JJ00";"      10";"       0";"      10";"      60";"      30";"      25";"      10";"       0";"      10";"      10";"       5";"       0";"       5";"       0";"      10";""
"47";"NAT9280  ";"2016JJ00";"       5";"       0";"       5";"      70";"      40";"      20";"      15";"       5";"      10";"      10";"      10";"       5";"       0";"       0";"      10";""
"48";"NAT9280  ";"2017JJ00";"       5";"       5";"       0";"     100";"      60";"      30";"      20";"      10";"      10";"      10";"       5";"       5";"       0";"       0";"      20";""
"49";"NAT9280  ";"2018JJ00";"      10";"       5";"       0";"      90";"      50";"      30";"       5";"      10";"      10";"      15";"      10";"       5";"       0";"       0";"      15";""
"50";"NAT9280  ";"2019JJ00";"       0";"       0";"       0";"     125";"      75";"      30";"      20";"      25";"       5";"      25";"      10";"       5";"      10";"       0";"      25";""
"51";"NAT9280  ";"2020JJ00";"       5";"       5";"       0";"     105";"      75";"      40";"      10";"      25";"       5";"      10";"      10";"       0";"       0";"       0";"      10";""
"52";"NAT9281  ";"2008JJ00";"       0";"       0";"       0";"    4410";"    1750";"     775";"     770";"     205";"    1085";"    1385";"     840";"      45";"     505";"       0";"     190";""
"53";"NAT9281  ";"2009JJ00";"       0";"       0";"       0";"    4035";"    1485";"     730";"     595";"     160";"    1285";"    1120";"     705";"      75";"     340";"       0";"     145";""
"54";"NAT9281  ";"2010JJ00";"       0";"       0";"       0";"    4160";"    1430";"     710";"     565";"     155";"    1290";"    1290";"     795";"      85";"     405";"       0";"     150";""
"55";"NAT9281  ";"2011JJ00";"       0";"       0";"       0";"    4375";"    1630";"     795";"     665";"     165";"    1440";"    1150";"     790";"      85";"     275";"       0";"     155";""
"56";"NAT9281  ";"2012JJ00";"       0";"       0";"       0";"    4470";"    1715";"     785";"     765";"     170";"    1320";"    1325";"     830";"      90";"     405";"       0";"     110";""
"57";"NAT9281  ";"2013JJ00";"       0";"       0";"       0";"    4800";"    1735";"     820";"     870";"      50";"    1445";"    1475";"     885";"     125";"     465";"       0";"     140";""
"58";"NAT9281  ";"2014JJ00";"       0";"       0";"       0";"    4925";"    1800";"     945";"     810";"      50";"    1420";"    1550";"     945";"     105";"     500";"       0";"     155";""
"59";"NAT9281  ";"2015JJ00";"       5";"       0";"       5";"    5795";"    1795";"     940";"     810";"      50";"    1940";"    1800";"    1035";"     155";"     615";"       0";"     260";""
"60";"NAT9281  ";"2016JJ00";"       0";"       0";"       0";"    5860";"    1775";"     915";"     800";"      60";"    2120";"    1715";"     980";"     125";"     605";"       0";"     255";""
"61";"NAT9281  ";"2017JJ00";"       5";"       0";"       5";"    6495";"    2055";"    1095";"     880";"      80";"    2145";"    2065";"    1235";"     180";"     650";"       0";"     230";""
"62";"NAT9281  ";"2018JJ00";"      10";"       0";"      10";"    6950";"    2115";"    1120";"     895";"     100";"    2395";"    2140";"    1340";"     190";"     610";"       0";"     295";""
"63";"NAT9281  ";"2019JJ00";"      15";"       5";"      10";"    7405";"    2290";"    1175";"     965";"     150";"    2510";"    2200";"    1305";"     170";"     725";"       0";"     405";""
"64";"NAT9281  ";"2020JJ00";"      15";"      10";"       5";"    4285";"    1760";"    1020";"     655";"      85";"     850";"    1435";"     850";"     125";"     465";"       0";"     235";""
"65";"NAT9283  ";"2008JJ00";"      10";"       0";"       0";"     480";"      55";"      15";"      25";"      10";"       0";"       0";"       0";"       0";"       0";"       0";"     425";""
"66";"NAT9283  ";"2009JJ00";"      25";"      15";"      10";"     165";"      55";"      15";"      20";"      20";"       0";"      10";"       5";"       0";"       0";"       0";"     100";""
"67";"NAT9283  ";"2010JJ00";"      15";"       5";"      10";"      90";"      50";"       5";"      20";"      25";"       0";"       0";"       0";"       0";"       0";"       0";"      40";""
"68";"NAT9283  ";"2011JJ00";"       5";"       5";"       0";"      60";"      30";"       5";"      15";"      10";"       5";"       0";"       0";"       0";"       0";"      15";"      10";""
"69";"NAT9283  ";"2012JJ00";"       5";"       0";"       0";"      50";"      30";"      10";"      15";"      10";"       0";"       0";"       0";"       0";"       0";"      10";"       5";""
"70";"NAT9283  ";"2013JJ00";"       0";"       0";"       0";"     110";"      70";"       5";"      30";"      35";"       0";"       0";"       0";"       0";"       0";"       5";"      30";""
"71";"NAT9283  ";"2014JJ00";"       5";"       0";"       0";"      75";"      50";"      15";"      20";"      15";"       0";"       0";"       0";"       0";"       0";"       5";"      20";""
"72";"NAT9283  ";"2015JJ00";"       0";"       0";"       0";"      45";"      30";"       5";"      20";"       5";"       5";"       0";"       0";"       0";"       0";"       0";"      10";""
"73";"NAT9283  ";"2016JJ00";"       0";"       0";"       0";"      40";"      20";"       5";"      10";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"      15";""
"74";"NAT9283  ";"2017JJ00";"       0";"       0";"       0";"      50";"      35";"       5";"      10";"      20";"       0";"       0";"       0";"       0";"       0";"       5";"      10";""
"75";"NAT9283  ";"2018JJ00";"       0";"       0";"       0";"      45";"      35";"       5";"      10";"      15";"       0";"       0";"       0";"       0";"       0";"       5";"       5";""
"76";"NAT9283  ";"2019JJ00";"       0";"       0";"       0";"      55";"      40";"       0";"      20";"      20";"       0";"       0";"       0";"       0";"       0";"       0";"      10";""
"77";"NAT9283  ";"2020JJ00";"       0";"       0";"       0";"      45";"      30";"       5";"      15";"      15";"       0";"       0";"       0";"       0";"       0";"       0";"      15";""
"78";"NAT9285  ";"2008JJ00";"       0";"       0";"       0";"     170";"      75";"      30";"      10";"      30";"      25";"      50";"      40";"       0";"      10";"       0";"      20";""
"79";"NAT9285  ";"2009JJ00";"       0";"       0";"       0";"     155";"      55";"      30";"      10";"      15";"      30";"      50";"      25";"       5";"      20";"       0";"      25";""
"80";"NAT9285  ";"2010JJ00";"       0";"       0";"       0";"     155";"      45";"      30";"       5";"      15";"      35";"      50";"      25";"      10";"      20";"       0";"      20";""
"81";"NAT9285  ";"2011JJ00";"       0";"       0";"       0";"     170";"      65";"      30";"      15";"      20";"      35";"      40";"      20";"      10";"      10";"       0";"      25";""
"82";"NAT9285  ";"2012JJ00";"       0";"       0";"       0";"     150";"      55";"      25";"      10";"      20";"      30";"      40";"      20";"      10";"      10";"       0";"      20";""
"83";"NAT9285  ";"2013JJ00";"       0";"       0";"       0";"     260";"     105";"      50";"      50";"       5";"      50";"      75";"      50";"      10";"      10";"       0";"      30";""
"84";"NAT9285  ";"2014JJ00";"       0";"       0";"       0";"     190";"      60";"      45";"      10";"       0";"      35";"      60";"      25";"      15";"      20";"       0";"      35";""
"85";"NAT9285  ";"2015JJ00";"       0";"       0";"       0";"     205";"      60";"      35";"      20";"       5";"      45";"      65";"      30";"       5";"      30";"       0";"      40";""
"86";"NAT9285  ";"2016JJ00";"       0";"       0";"       0";"     255";"      70";"      45";"      10";"      10";"      60";"      80";"      45";"       5";"      30";"       0";"      45";""
"87";"NAT9285  ";"2017JJ00";"       0";"       0";"       0";"     380";"      75";"      55";"      10";"      10";"      80";"      90";"      45";"      10";"      30";"       0";"     135";""
"88";"NAT9285  ";"2018JJ00";"       0";"       0";"       0";"     405";"      80";"      50";"      20";"      10";"      85";"      90";"      55";"       5";"      30";"       0";"     150";""
"89";"NAT9285  ";"2019JJ00";"       0";"       0";"       0";"     515";"     135";"      80";"      35";"      15";"      60";"     135";"      95";"      20";"      25";"       0";"     185";""
"90";"NAT9285  ";"2020JJ00";"       0";"       0";"       0";"     285";"     100";"      50";"      25";"      25";"      25";"      85";"      55";"      15";"      15";"       0";"      75";""
"91";"NAT9286  ";"2008JJ00";"      25";"       0";"       0";"     290";"      60";"      40";"      15";"       5";"      10";"      10";"       5";"       0";"       0";"       0";"     210";""
"92";"NAT9286  ";"2009JJ00";"      80";"      30";"      50";"     115";"      70";"      40";"      15";"      15";"      15";"      10";"      10";"       0";"       0";"       0";"      25";""
"93";"NAT9286  ";"2010JJ00";"     165";"      85";"      75";"     105";"      75";"      45";"      20";"      15";"      15";"       5";"       0";"       0";"       0";"       0";"      10";""
"94";"NAT9286  ";"2011JJ00";"      75";"      40";"      35";"     120";"      90";"      55";"      30";"      10";"      15";"       5";"       5";"       0";"       0";"       0";"      10";""
"95";"NAT9286  ";"2012JJ00";"      35";"      15";"      20";"     150";"     110";"      60";"      25";"      20";"      20";"      10";"       5";"       0";"       5";"       5";"      10";""
"96";"NAT9286  ";"2013JJ00";"      15";"      10";"      10";"     300";"     230";"      60";"      75";"      95";"      10";"       5";"       0";"       0";"       5";"       5";"      45";""
"97";"NAT9286  ";"2014JJ00";"      20";"       5";"      15";"     175";"     130";"      65";"      55";"      10";"      25";"       5";"       5";"       0";"       5";"       0";"      15";""
"98";"NAT9286  ";"2015JJ00";"      20";"      15";"       5";"     175";"     120";"      65";"      40";"      10";"      15";"      10";"       5";"       5";"       0";"       5";"      30";""
"99";"NAT9286  ";"2016JJ00";"      20";"      10";"      10";"     175";"     115";"      60";"      40";"      20";"      15";"      10";"       5";"       0";"       0";"       0";"      30";""
"100";"NAT9286  ";"2017JJ00";"      15";"      10";"       5";"     160";"     105";"      45";"      35";"      25";"      10";"      15";"      10";"       0";"       5";"       0";"      30";""
"101";"NAT9286  ";"2018JJ00";"       5";"       5";"       0";"     190";"     120";"      55";"      35";"      30";"      15";"      10";"      10";"       0";"       0";"       5";"      40";""
"102";"NAT9286  ";"2019JJ00";"      10";"       5";"       5";"     535";"     150";"      60";"      55";"      35";"      10";"      10";"       5";"       5";"       0";"       0";"     365";""
"103";"NAT9286  ";"2020JJ00";"       5";"       5";"       0";"     145";"      75";"      30";"      30";"      20";"      25";"      10";"       5";"       0";"       0";"       0";"      35";""
"104";"NAT9287  ";"2008JJ00";"       0";"       0";"       0";"     955";"     230";"     115";"      65";"      50";"     160";"     210";"     160";"      10";"      40";"       0";"     355";""
"105";"NAT9287  ";"2009JJ00";"       0";"       0";"       0";"     870";"     175";"      80";"      55";"      40";"     130";"     185";"     150";"       0";"      35";"       0";"     380";""
"106";"NAT9287  ";"2010JJ00";"       0";"       0";"       0";"     995";"     190";"      95";"      55";"      40";"     115";"     185";"     140";"      10";"      30";"       0";"     505";""
"107";"NAT9287  ";"2011JJ00";"       0";"       0";"       0";"     870";"     210";"     105";"      55";"      45";"     120";"     150";"     125";"      10";"      15";"       0";"     390";""
"108";"NAT9287  ";"2012JJ00";"       0";"       0";"       0";"     810";"     195";"     100";"      50";"      45";"     105";"     135";"     105";"       5";"      20";"       0";"     380";""
"109";"NAT9287  ";"2013JJ00";"       0";"       0";"       0";"    1105";"     165";"      80";"      80";"       5";"     115";"     180";"     140";"      15";"      25";"       0";"     645";""
"110";"NAT9287  ";"2014JJ00";"       0";"       0";"       0";"    1190";"     230";"     140";"      80";"      15";"     125";"     200";"     155";"      20";"      25";"       0";"     630";""
"111";"NAT9287  ";"2015JJ00";"       0";"       0";"       0";"    1450";"     215";"     135";"      70";"      10";"     180";"     205";"     160";"      20";"      25";"       0";"     850";""
"112";"NAT9287  ";"2016JJ00";"       0";"       0";"       0";"    1505";"     235";"     145";"      70";"      15";"     230";"     225";"     160";"      35";"      30";"       0";"     820";""
"113";"NAT9287  ";"2017JJ00";"       0";"       0";"       0";"    1530";"     215";"     130";"      60";"      30";"     250";"     225";"     170";"      25";"      25";"       0";"     845";""
"114";"NAT9287  ";"2018JJ00";"       0";"       0";"       0";"    1745";"     290";"     170";"      90";"      30";"     310";"     285";"     220";"      35";"      30";"       0";"     860";""
"115";"NAT9287  ";"2019JJ00";"       0";"       0";"       0";"    1805";"     315";"     175";"     100";"      35";"     340";"     345";"     270";"      40";"      35";"       0";"     805";""
"116";"NAT9287  ";"2020JJ00";"       0";"       0";"       0";"     835";"     250";"     140";"      75";"      35";"      55";"     200";"     155";"      15";"      30";"       0";"     330";""
"117";"NAT9288  ";"2008JJ00";"      25";"       0";"       0";"     425";"      35";"      15";"       5";"      15";"      15";"       5";"       5";"       0";"       0";"       0";"     365";""
"118";"NAT9288  ";"2009JJ00";"      60";"      25";"      35";"      85";"      30";"      10";"      10";"      10";"      20";"       0";"       0";"       0";"       0";"       0";"      35";""
"119";"NAT9288  ";"2010JJ00";"      65";"      45";"      20";"      75";"      25";"      10";"       5";"      10";"      30";"       5";"       0";"       0";"       5";"       0";"      15";""
"120";"NAT9288  ";"2011JJ00";"      40";"      15";"      25";"      90";"      40";"      20";"      10";"      10";"      40";"       5";"       5";"       0";"       0";"       0";"       5";""
"121";"NAT9288  ";"2012JJ00";"      15";"      10";"       5";"      90";"      25";"      10";"      10";"      10";"      35";"      15";"       0";"       0";"      10";"       5";"      15";""
"122";"NAT9288  ";"2013JJ00";"      20";"      15";"       5";"     170";"      80";"      20";"      20";"      40";"      45";"      15";"      15";"       0";"       0";"       0";"      30";""
"123";"NAT9288  ";"2014JJ00";"      10";"      10";"       5";"     125";"      35";"      20";"      15";"       0";"      50";"       5";"       5";"       0";"       0";"       0";"      25";""
"124";"NAT9288  ";"2015JJ00";"      15";"      15";"       0";"     105";"      30";"      10";"      15";"       0";"      45";"      10";"       5";"       0";"       5";"       0";"      20";""
"125";"NAT9288  ";"2016JJ00";"       5";"       5";"       0";"     150";"      60";"      30";"      20";"      10";"      65";"      10";"       5";"       0";"       0";"       0";"      20";""
"126";"NAT9288  ";"2017JJ00";"       5";"       5";"       0";"     115";"      40";"      20";"      15";"       5";"      45";"      20";"      15";"       0";"       5";"       0";"       5";""
"127";"NAT9288  ";"2018JJ00";"      10";"      10";"       0";"     175";"      70";"      40";"      25";"       5";"      55";"      40";"      25";"       0";"      15";"       0";"      10";""
"128";"NAT9288  ";"2019JJ00";"      15";"      10";"       5";"     305";"      75";"      35";"      35";"       5";"      95";"      90";"      25";"       5";"      65";"       0";"      40";""
"129";"NAT9288  ";"2020JJ00";"      20";"      10";"      10";"     225";"      70";"      20";"      30";"      15";"      65";"      70";"      20";"       5";"      45";"       0";"      15";""
"130";"NAT9294  ";"2008JJ00";"       0";"       0";"       0";"     105";"      30";"      20";"       5";"       5";"      35";"      15";"      10";"       0";"       5";"       0";"      25";""
"131";"NAT9294  ";"2009JJ00";"       0";"       0";"       0";"     115";"      30";"      20";"      10";"       0";"      55";"      15";"      10";"       0";"       5";"       0";"      15";""
"132";"NAT9294  ";"2010JJ00";"       5";"       5";"       0";"     125";"      55";"      30";"      25";"       0";"      45";"      20";"      10";"       5";"       0";"       0";"       5";""
"133";"NAT9294  ";"2011JJ00";"       5";"       0";"       0";"     125";"      50";"      30";"      15";"       5";"      55";"      20";"      15";"       5";"       0";"       0";"       0";""
"134";"NAT9294  ";"2012JJ00";"       5";"       5";"       0";"     130";"      45";"      30";"      15";"       0";"      50";"      35";"      20";"      10";"       5";"       0";"       0";""
"135";"NAT9294  ";"2013JJ00";"      10";"       5";"      10";"     180";"      70";"      30";"      40";"       5";"      80";"      25";"      10";"      10";"       5";"       0";"       5";""
"136";"NAT9294  ";"2014JJ00";"       5";"       5";"       0";"     135";"      45";"      25";"      15";"       0";"      50";"      40";"      15";"      25";"       0";"       0";"       0";""
"137";"NAT9294  ";"2015JJ00";"       5";"       0";"       5";"     235";"      55";"      35";"      20";"       0";"     110";"      60";"      35";"      15";"      10";"       0";"      10";""
"138";"NAT9294  ";"2016JJ00";"      10";"      10";"       0";"     315";"      65";"      40";"      25";"       0";"     200";"      40";"      15";"      20";"       5";"       0";"      15";""
"139";"NAT9294  ";"2017JJ00";"       5";"       5";"       0";"     265";"      80";"      40";"      15";"      20";"     145";"      25";"      15";"      10";"       5";"       0";"      15";""
"140";"NAT9294  ";"2018JJ00";"       0";"       0";"       0";"     230";"      70";"      45";"      25";"       5";"      80";"      50";"      25";"      15";"      10";"       0";"      30";""
"141";"NAT9294  ";"2019JJ00";"       5";"       5";"       0";"     380";"     100";"      45";"      40";"      15";"     215";"      50";"      15";"      15";"      20";"       0";"      15";""
"142";"NAT9294  ";"2020JJ00";"       5";"       0";"       0";"     400";"      90";"      55";"      30";"       5";"     265";"      40";"      15";"      15";"      10";"       0";"      10";""
"143";"NAT9296  ";"2008JJ00";"      35";"       0";"       0";"      30";"       0";"       0";"       0";"       0";"      25";"       0";"       0";"       0";"       0";"       0";"       5";""
"144";"NAT9296  ";"2009JJ00";"      45";"      25";"      25";"      45";"       0";"       0";"       0";"       0";"      45";"       0";"       0";"       0";"       0";"       0";"       0";""
"145";"NAT9296  ";"2010JJ00";"      45";"      25";"      20";"      35";"       0";"       0";"       0";"       0";"      35";"       0";"       0";"       0";"       0";"       0";"       0";""
"146";"NAT9296  ";"2011JJ00";"      55";"      40";"      15";"      20";"       0";"       0";"       0";"       0";"      20";"       0";"       0";"       0";"       0";"       0";"       0";""
"147";"NAT9296  ";"2012JJ00";"       0";"       0";"       0";"      15";"       0";"       0";"       0";"       0";"      15";"       0";"       0";"       0";"       0";"       0";"       0";""
"148";"NAT9296  ";"2013JJ00";"       0";"       0";"       0";"      25";"       5";"       0";"       0";"       0";"      20";"       0";"       0";"       0";"       0";"       0";"       0";""
"149";"NAT9296  ";"2014JJ00";"       0";"       0";"       0";"      15";"       0";"       0";"       0";"       0";"      10";"       0";"       0";"       0";"       0";"       0";"       0";""
"150";"NAT9296  ";"2015JJ00";"       0";"       0";"       0";"      20";"       0";"       0";"       0";"       0";"      20";"       0";"       0";"       0";"       0";"       0";"       0";""
"151";"NAT9296  ";"2016JJ00";"       0";"       0";"       0";"      10";"       0";"       0";"       0";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"       0";""
"152";"NAT9296  ";"2017JJ00";"       0";"       0";"       0";"      10";"       5";"       0";"       0";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"       0";""
"153";"NAT9296  ";"2018JJ00";"       0";"       0";"       0";"      25";"       0";"       0";"       0";"       0";"      20";"       0";"       0";"       0";"       0";"       0";"       5";""
"154";"NAT9296  ";"2019JJ00";"       0";"       0";"       0";"      10";"       0";"       0";"       0";"       0";"      10";"       0";"       0";"       0";"       0";"       0";"       0";""
"155";"NAT9296  ";"2020JJ00";"       0";"       0";"       0";"       5";"       0";"       0";"       0";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"       0";""
"156";"NAT9297  ";"2008JJ00";"       0";"       0";"       0";"      65";"      30";"      20";"       5";"       5";"      20";"      10";"       0";"       5";"       5";"       0";"       0";""
"157";"NAT9297  ";"2009JJ00";"       0";"       0";"       0";"      60";"      25";"      15";"       0";"       5";"      25";"      10";"       5";"       5";"       0";"       0";"       5";""
"158";"NAT9297  ";"2010JJ00";"       0";"       0";"       0";"      55";"      20";"      10";"       0";"      10";"      20";"      10";"       0";"       5";"       5";"       0";"       5";""
"159";"NAT9297  ";"2011JJ00";"       0";"       0";"       0";"      40";"      15";"       5";"       5";"       5";"      20";"       5";"       0";"       5";"       5";"       0";"       0";""
"160";"NAT9297  ";"2012JJ00";"       0";"       0";"       0";"      40";"      15";"      10";"       0";"       5";"      20";"       5";"       0";"       0";"       5";"       0";"       0";""
