Nationality;Periods;TotalResidencePermitsAsylum_1;RefugeeStatusBeneficiaryStatus_2;HumanitarianReasons_3;TotalOrdinaryResidencePermit_4;TotalFamilyReunificationFormation_5;HusbandWife_6;ChildUnder18_7;OtherFamilyReunification_8;Study_9;TotalLabour_10;HighlySkilledMigrantBlueCardHolder_11;Researcher_12;OtherLabour_13;VictimOfHumanTrade_14;OtherOrdinary_15;SinglePermitGVVA_16
NAT9305  ;2016JJ00;5;5;0;30;15;5;5;5;0;5;0;0;0;0;10;
NAT9305  ;2017JJ00;25;15;10;20;15;5;5;5;0;0;0;0;0;0;5;
NAT9305  ;2018JJ00;5;5;0;30;25;5;10;10;5;0;0;0;0;0;5;
NAT9305  ;2019JJ00;10;5;5;30;15;0;10;5;0;0;0;0;0;0;15;
NAT9305  ;2020JJ00;5;5;0;25;15;5;5;5;5;0;0;0;0;0;5;
NAT9307  ;2008JJ00;0;0;0;1040;235;130;70;35;230;315;160;10;150;0;260;
NAT9307  ;2009JJ00;0;0;0;940;275;135;100;35;195;220;135;25;60;0;250;
NAT9307  ;2010JJ00;0;0;0;1050;220;115;65;40;255;240;130;20;85;0;340;
NAT9307  ;2011JJ00;0;0;0;970;240;125;70;40;240;220;140;25;55;0;270;
NAT9307  ;2012JJ00;0;0;0;1050;260;115;105;40;230;220;145;30;50;0;345;
NAT9307  ;2013JJ00;0;0;0;1330;290;135;140;15;245;270;180;40;45;0;530;
NAT9307  ;2014JJ00;0;0;0;1225;235;145;85;10;250;240;165;35;40;0;495;
NAT9307  ;2015JJ00;0;0;0;1470;265;160;90;15;330;270;180;45;40;0;605;
NAT9307  ;2016JJ00;0;0;0;1510;285;170;105;10;355;270;180;45;45;0;600;
NAT9307  ;2017JJ00;5;0;5;1605;325;170;130;20;375;275;205;45;30;0;630;
NAT9307  ;2018JJ00;0;0;0;1790;320;180;120;20;480;310;230;40;45;0;675;
NAT9307  ;2019JJ00;0;0;0;1815;345;185;115;45;595;320;195;50;70;0;560;
NAT9307  ;2020JJ00;0;0;0;945;265;160;75;30;175;260;165;40;55;0;250;
NAT9309  ;2008JJ00;0;0;0;120;50;25;10;15;35;25;15;5;5;0;10;
NAT9309  ;2009JJ00;0;0;0;130;65;35;15;15;35;20;5;10;5;0;10;
NAT9309  ;2010JJ00;0;0;0;115;50;25;15;15;30;20;10;5;5;0;10;
NAT9309  ;2011JJ00;0;0;0;155;60;30;5;25;55;25;10;10;5;0;15;
NAT9309  ;2012JJ00;0;0;0;150;70;30;25;15;45;25;5;10;5;0;20;
NAT9309  ;2013JJ00;0;0;0;190;75;40;25;10;60;35;10;15;5;0;20;
NAT9309  ;2014JJ00;0;0;0;190;50;30;20;0;85;30;5;20;5;0;25;
NAT9309  ;2015JJ00;0;0;0;250;50;35;10;5;120;50;20;20;15;0;30;
NAT9309  ;2016JJ00;0;0;0;280;75;50;25;5;120;55;20;35;0;0;30;
NAT9309  ;2017JJ00;0;0;0;305;80;50;15;10;145;50;20;30;5;0;30;
NAT9309  ;2018JJ00;0;0;0;305;75;50;15;10;125;65;25;30;5;0;40;
NAT9309  ;2019JJ00;0;0;0;335;105;65;25;15;140;60;25;30;10;0;30;
NAT9309  ;2020JJ00;0;0;0;215;70;40;25;10;55;50;25;20;5;0;35;
NAT9310  ;2008JJ00;110;0;0;5745;1280;660;565;55;1850;1340;350;230;765;0;1270;
NAT9310  ;2009JJ00;120;85;35;5485;1070;565;450;55;2265;1725;310;350;1070;0;420;
NAT9310  ;2010JJ00;205;160;50;4775;1120;635;430;50;2225;1335;350;385;600;0;95;
NAT9310  ;2011JJ00;230;190;40;5480;1175;675;445;55;2445;1770;320;430;1020;20;75;
NAT9310  ;2012JJ00;125;80;50;5870;1190;605;525;65;2505;2100;385;535;1185;15;55;
NAT9310  ;2013JJ00;85;50;30;6080;1755;910;795;50;2695;1555;500;645;410;15;55;
NAT9310  ;2014JJ00;110;65;45;5625;1635;825;780;35;2580;1330;505;620;200;5;75;
NAT9310  ;2015JJ00;70;40;30;6170;1490;730;745;15;2850;1725;485;680;560;10;95;
NAT9310  ;2016JJ00;60;30;30;6265;1570;790;760;15;2930;1675;520;820;335;5;85;
NAT9310  ;2017JJ00;150;130;20;7120;1715;795;895;20;3015;2275;490;870;915;0;110;
NAT9310  ;2018JJ00;100;80;20;7365;1560;745;760;60;3040;2655;490;970;1195;0;105;
NAT9310  ;2019JJ00;130;105;20;8555;1830;800;935;95;3180;3245;520;1100;1620;5;295;
NAT9310  ;2020JJ00;100;75;25;5045;1060;470;525;65;2020;1840;390;835;615;5;125;
NAT9311  ;2008JJ00;20;0;0;400;200;90;50;60;105;75;30;5;45;0;15;
NAT9311  ;2009JJ00;20;5;15;475;205;110;35;60;140;105;30;15;60;0;25;
NAT9311  ;2010JJ00;5;5;5;500;180;80;40;60;180;125;25;20;80;0;15;
NAT9311  ;2011JJ00;5;5;0;485;185;100;35;50;150;135;30;25;80;0;20;
NAT9311  ;2012JJ00;0;0;0;420;150;65;25;60;140;115;20;25;75;0;15;
NAT9311  ;2013JJ00;0;0;0;565;195;95;70;30;160;155;30;50;80;0;50;
NAT9311  ;2014JJ00;0;0;0;450;130;85;30;10;155;120;25;45;50;0;45;
NAT9311  ;2015JJ00;0;0;0;495;105;80;20;5;220;130;35;55;40;0;45;
NAT9311  ;2016JJ00;0;0;0;565;120;90;20;10;245;120;40;35;45;0;80;
NAT9311  ;2017JJ00;5;5;0;640;155;115;25;15;230;175;60;45;70;5;80;
NAT9311  ;2018JJ00;5;0;5;785;240;160;40;40;255;200;70;55;75;0;95;
NAT9311  ;2019JJ00;10;10;0;895;285;160;45;80;230;185;95;55;35;0;190;
NAT9311  ;2020JJ00;35;25;5;625;230;130;40;60;135;120;65;35;25;10;135;
NAT9313  ;2008JJ00;160;0;0;430;65;15;40;10;5;0;0;0;0;0;360;
NAT9313  ;2009JJ00;105;55;50;150;70;15;45;10;5;0;0;0;0;0;70;
NAT9313  ;2010JJ00;100;65;35;90;55;10;35;5;0;0;0;0;0;0;35;
NAT9313  ;2011JJ00;140;90;45;80;60;10;45;5;5;5;0;0;0;0;10;
NAT9313  ;2012JJ00;75;45;30;85;70;10;55;5;5;5;0;5;0;5;5;
NAT9313  ;2013JJ00;130;30;100;135;105;10;80;20;5;5;5;5;0;5;15;
NAT9313  ;2014JJ00;45;20;25;35;25;0;20;5;0;5;0;0;0;5;5;
NAT9313  ;2015JJ00;30;20;10;45;30;0;20;10;5;5;0;5;0;0;5;
NAT9313  ;2016JJ00;30;10;20;35;20;5;10;10;5;0;0;0;0;5;5;
NAT9313  ;2017JJ00;35;25;15;60;35;5;15;20;5;5;0;5;0;5;10;
NAT9313  ;2018JJ00;150;75;75;45;30;5;10;15;5;5;0;0;0;5;5;
NAT9313  ;2019JJ00;45;40;5;40;25;5;10;15;5;5;0;0;0;0;10;
NAT9313  ;2020JJ00;5;0;5;25;15;0;10;5;5;0;0;0;0;0;5;
NAT9314  ;2008JJ00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
NAT9314  ;2009JJ00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
NAT9314  ;2010JJ00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
NAT9314  ;2011JJ00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
NAT9314  ;2012JJ00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
NAT9314  ;2013JJ00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
NAT9314  ;2014JJ00;5;0;5;45;40;0;40;0;0;0;0;0;0;0;0;
NAT9314  ;2015JJ00;75;25;55;50;50;5;45;0;0;0;0;0;0;0;0;
NAT9314  ;2016JJ00;45;15;30;40;35;5;25;0;5;5;5;0;0;0;0;
NAT9314  ;2017JJ00;10;0;10;15;15;5;10;0;0;0;0;0;0;0;0;
NAT9314  ;2018JJ00;35;5;30;35;35;5;25;5;5;0;0;0;0;0;0;
NAT9314  ;2019JJ00;45;35;5;40;25;5;20;0;5;0;0;0;0;0;10;
NAT9314  ;2020JJ00;10;0;10;50;45;5;20;20;5;0;0;0;0;0;5;
NAT9315  ;2008JJ00;0;0;0;40;15;10;0;0;15;10;5;0;0;0;0;
NAT9315  ;2009JJ00;0;0;0;50;20;10;5;5;25;5;0;0;0;0;0;
