psraid,sample,segment,int_date,lang,scregion,sstate
100273,1,1,22916,1,1,2
100278,1,1,22916,1,1,3
100282,1,1,30316,2,2,4
100283,1,1,22916,1,1,2
100284,1,1,22916,1,1,3
100286,1,1,22916,1,1,3
100290,1,1,43016,2,2,4
100299,1,1,32216,1,1,4
100305,1,1,40916,1,1,4
100310,1,1,22916,1,1,2
100316,1,1,22916,1,1,4
100319,1,1,22916,1,1,4
100320,1,1,32116,1,1,4
100327,1,1,41016,1,1,4
100330,1,1,40916,1,1,4
100335,1,1,22916,1,1,4
100345,1,1,30516,2,2,4
100350,1,1,22916,1,1,3
100355,1,1,22916,1,1,3
100362,1,1,22916,1,1,4
100364,1,1,22916,1,1,4
100365,1,1,30516,1,1,4
100369,1,1,30516,1,1,4
100371,1,1,22916,1,1,3
100378,1,1,30616,1,1,3
100381,1,1,30116,2,2,4
100383,1,1,31916,1,1,3
100385,1,1,30516,1,1,4
100386,1,1,30516,2,2,4
100389,1,1,41616,2,2,4
100391,1,1,30916,2,2,1
100394,1,1,30116,1,1,1
100398,1,1,30116,1,1,2
100406,1,1,31916,1,1,3
100407,1,1,30416,1,1,3
100412,1,1,32616,1,1,3
100418,1,1,30116,1,1,3
100423,1,1,31016,1,1,2
100428,1,1,30116,1,1,1
100429,1,1,30516,1,1,1
100432,1,1,32116,1,1,1
100433,1,1,30516,1,1,1
100435,1,1,30116,1,1,1
100439,1,1,30216,1,1,1
100440,1,1,30116,1,1,1
100443,1,1,30116,1,1,2
100446,1,1,30416,1,1,3
100448,1,1,30316,1,1,3
100449,1,1,30116,1,1,1
100458,1,1,42316,2,2,1
100459,1,1,30116,1,1,3
100464,1,1,30116,1,1,1
100465,1,1,30416,1,1,3
100479,1,1,30816,1,1,2
100481,1,1,30116,1,1,3
100483,1,1,31716,1,1,2
100487,1,1,30116,1,1,3
100492,1,1,31616,1,1,2
100493,1,1,31216,1,1,3
100494,1,1,30116,1,1,1
100504,1,1,31216,1,1,3
100519,1,1,30116,1,1,1
100522,1,1,30216,1,1,1
100523,1,1,30216,1,1,3
100524,1,1,30216,1,1,3
100534,1,1,30216,1,1,3
100536,1,1,30216,1,1,3
100537,1,1,41716,1,1,1
100538,1,1,32216,1,1,3
100545,1,1,30216,1,1,1
100546,1,1,31916,2,2,1
100548,1,1,30916,2,2,3
100549,1,1,30216,1,1,2
100556,1,1,30216,1,1,2
100558,1,1,30216,1,1,1
100563,1,1,31216,1,1,3
100564,1,1,30516,2,2,3
100565,1,1,30816,1,1,3
100567,1,1,31216,1,1,3
100576,1,1,41616,2,2,3
100578,1,1,30216,1,1,2
100579,1,1,30516,1,1,1
100581,1,1,30216,1,1,1
100590,1,1,30516,1,1,1
100594,1,1,30316,1,1,3
100595,1,1,31016,1,1,1
100597,1,1,30216,1,1,3
100605,1,1,31916,1,1,4
100611,1,1,31016,1,1,1
100612,1,1,30216,1,1,3
100613,1,1,30216,1,1,1
100614,1,1,30216,1,1,3
100625,1,1,30216,1,1,2
100632,1,1,30216,1,1,4
100633,1,1,31916,1,1,3
100635,1,1,30216,1,1,4
100641,1,1,30216,1,1,4
100649,1,1,30216,1,1,4
100652,1,1,30316,1,1,4
100656,1,1,40316,2,2,4
100657,1,1,30416,1,1,4
100658,1,1,30316,1,1,4
100663,1,1,30216,1,1,4
100666,1,1,30516,1,1,4
100667,1,1,30516,1,1,4
100668,1,1,32616,1,1,4
100692,1,1,30316,1,1,3
100694,1,1,30816,1,1,3
100702,1,1,42316,1,1,2
100703,1,1,30416,1,1,2
100710,1,1,30316,1,1,3
100712,1,1,30316,1,1,3
100713,1,1,30316,1,1,1
100716,1,1,30316,1,1,1
100718,1,1,30316,1,1,2
100721,1,1,30516,1,1,3
100728,1,1,30416,1,1,3
100729,1,1,30416,1,1,1
100730,1,1,30316,1,1,3
100736,1,1,50316,1,1,3
100737,1,1,42316,1,1,2
100744,1,1,32616,1,1,3
100762,1,1,31216,1,1,2
100763,1,1,30516,1,1,2
100768,1,1,30316,1,1,3
100772,1,1,30316,1,1,3
100774,1,1,30316,1,1,3
100780,1,1,30316,1,1,3
100781,1,1,30816,1,1,3
100789,1,1,30616,1,1,3
100790,1,1,30316,1,1,1
100814,1,1,30416,2,2,4
100815,1,1,30316,1,1,4
100816,1,1,30316,1,1,4
100822,1,1,31916,1,1,3
100825,1,1,30316,1,1,3
100829,1,1,30316,2,2,1
100837,1,1,30316,1,1,3
100841,1,1,30916,2,2,3
100850,1,1,30316,1,1,3
100852,1,1,30516,1,1,2
100859,1,1,30316,1,1,2
100868,1,1,30416,1,1,3
100869,1,1,30316,1,1,4
100882,1,1,30316,1,1,3
100883,1,1,30316,1,1,3
100884,1,1,30316,1,1,2
100888,1,1,30316,1,1,3
100893,1,1,30316,1,1,2
100894,1,1,30316,1,1,2
100902,1,1,30316,1,1,4
100903,1,1,30316,1,1,2
100904,1,1,30316,1,1,3
100907,1,1,30316,1,1,3
100908,1,1,41716,1,1,3
100918,1,1,30416,1,1,3
100921,1,1,30416,1,1,3
100927,1,1,30416,1,1,1
100931,1,1,30416,1,1,1
100936,1,1,30516,2,2,1
100937,1,1,30416,1,1,1
100938,1,1,30416,1,1,1
100942,1,1,30816,1,1,3
100943,1,1,30416,1,1,1
100945,1,1,30416,1,1,2
100948,1,1,30416,1,1,1
100950,1,1,30516,2,2,3
100955,1,1,30516,1,1,1
100956,1,1,30416,1,1,3
100957,1,1,30416,1,1,3
100958,1,1,30416,1,1,1
100959,1,1,30416,1,1,3
100960,1,1,30516,2,2,4
100962,1,1,30416,1,1,1
100965,1,1,30416,1,1,2
100972,1,1,30416,1,1,1
100985,1,1,30416,1,1,1
100990,1,1,30816,1,1,3
100992,1,1,50416,1,1,3
100997,1,1,30416,1,1,2
101023,1,1,32116,1,1,1
101026,1,1,31216,1,1,1
101030,1,1,30516,1,1,1
101034,1,1,30516,1,1,3
101037,1,1,30516,1,1,1
101040,1,1,43016,2,2,3
101042,1,1,31016,1,1,2
101043,1,1,30516,1,1,1
101054,1,1,31916,1,1,1
101060,1,1,30516,1,1,2
101064,1,1,42316,1,1,3
101066,1,1,31216,1,1,4
101070,1,1,30516,1,1,3
101071,1,1,30516,1,1,4
101072,1,1,32216,1,1,2
101077,1,1,42316,1,1,3
101080,1,1,30516,1,1,3
101084,1,1,30516,1,1,3
101094,1,1,30916,1,1,2
101096,1,1,30816,1,1,3
101098,1,1,30516,1,1,2
101100,1,1,30616,1,1,2
101102,1,1,30516,1,1,1
101103,1,1,30516,1,1,2
101104,1,1,30516,1,1,3
101106,1,1,31716,1,1,3
101109,1,1,30516,1,1,2
101113,1,1,30516,1,1,4
101118,1,1,30516,1,1,4
101121,1,1,30516,1,1,4
101125,1,1,30816,2,2,4
101127,1,1,30516,2,2,4
101129,1,1,30516,1,1,4
101131,1,1,30516,1,1,4
101138,1,1,30516,1,1,4
101141,1,1,30516,1,1,4
101143,1,1,42316,2,2,4
101147,1,1,30516,1,1,4
101164,1,1,30516,1,1,4
101168,1,1,30516,1,1,4
101178,1,1,40916,1,1,4
101185,1,1,30916,1,1,2
101189,1,1,30516,1,1,4
101193,1,1,30516,1,1,4
101194,1,1,30516,1,1,4
101197,1,1,30516,1,1,3
101204,1,1,30516,1,1,4
101205,1,1,30516,1,1,4
101206,1,1,30516,1,1,3
101209,1,1,30616,2,2,4
101213,1,1,31916,1,1,4
101216,1,1,30516,1,1,2
101217,1,1,30516,1,1,4
101220,1,1,31216,1,1,3
101224,1,1,30516,1,1,4
101233,1,1,31216,1,1,4
101236,1,1,40316,2,2,4
101246,1,1,30516,1,1,4
101252,1,1,30516,1,1,3
101259,1,1,40316,2,2,4
101262,1,1,31916,1,1,2
101265,1,1,30516,1,1,1
101269,1,1,32616,1,1,3
101274,1,1,40916,1,1,4
101279,1,1,30816,1,1,3
101284,1,1,30516,1,1,2
101285,1,1,30516,1,1,4
101286,1,1,31716,1,1,3
101287,1,1,30516,1,1,3
101291,1,1,30616,1,1,1
101294,1,1,30616,1,1,1
101296,1,1,30616,1,1,3
101300,1,1,31216,1,1,2
101301,1,1,30616,1,1,3
101302,1,1,30616,1,1,1
101313,1,1,31916,1,1,3
101315,1,1,40216,1,1,4
101316,1,1,31216,1,1,3
101317,1,1,30616,1,1,4
101319,1,1,31216,1,1,3
101320,1,1,31216,1,1,4
101323,1,1,30616,1,1,4
101329,1,1,30616,1,1,4
101337,1,1,31616,2,2,3
101340,1,1,30616,1,1,1
101345,1,1,30616,1,1,4
101347,1,1,30616,1,1,4
101348,1,1,30616,1,1,3
101349,1,1,31216,1,1,3
101359,1,1,30616,2,2,1
101360,1,1,30616,1,1,4
101361,1,1,30616,1,1,1
101364,1,1,30616,1,1,3
101369,1,1,31916,1,1,4
101377,1,1,30616,1,1,3
101391,1,1,30816,1,1,2
101392,1,1,30816,1,1,2
101397,1,1,30816,1,1,3
101399,1,1,30816,1,1,3
101401,1,1,30816,1,1,1
101406,1,1,41716,1,1,2
101407,1,1,32616,1,1,3
101414,1,1,30816,1,1,3
101416,1,1,30816,1,1,4
101418,1,1,30816,1,1,3
101423,1,1,30816,1,1,1
101426,1,1,30816,1,1,1
101427,1,1,30816,1,1,1
101429,1,1,32616,1,1,1
101437,1,1,30816,1,1,3
101442,1,1,30816,1,1,3
101459,1,1,31916,2,2,1
101465,1,1,31616,1,1,4
101466,1,1,31916,1,1,2
101469,1,1,31016,1,1,3
101472,1,1,31916,1,1,1
101473,1,1,32216,1,1,3
101479,1,1,30816,1,1,1
101481,1,1,30816,1,1,4
101482,1,1,30816,2,2,4
101487,1,1,30816,1,1,3
101491,1,1,31216,1,1,4
101493,1,1,30816,1,1,3
101500,1,1,31916,1,1,3
101518,1,1,41616,2,2,2
101522,1,1,30816,1,1,4
101526,1,1,30916,1,1,1
101529,1,1,30916,1,1,3
101535,1,1,30916,1,1,1
101540,1,1,30916,1,1,1
101542,1,1,30916,1,1,2
101545,1,1,30916,1,1,3
101549,1,1,30916,1,1,2
101551,1,1,30916,1,1,2
101556,1,1,30916,1,1,1
101559,1,1,30916,1,1,1
101563,1,1,31016,1,1,1
101565,1,1,31016,1,1,3
101567,1,1,31016,1,1,1
101572,1,1,31016,1,1,1
101574,1,1,42316,1,1,3
101576,1,1,31016,1,1,3
101583,1,1,31016,1,1,3
101585,1,1,42316,1,1,3
101587,1,1,31016,1,1,1
101588,1,1,31016,1,1,1
101595,1,1,31016,1,1,3
101608,1,1,31016,1,1,3
101609,1,1,31016,1,1,3
101616,1,1,31016,1,1,1
101621,1,1,31016,1,1,2
101626,1,1,31616,1,1,2
101631,1,1,41616,2,2,1
101632,1,1,31216,1,1,2
101637,1,1,31216,1,1,2
101639,1,1,31216,1,1,1
101640,1,1,31216,1,1,1
101641,1,1,31216,1,1,1
101644,1,1,31216,1,1,1
101647,1,1,31216,1,1,3
101650,1,1,31216,1,1,2
101652,1,1,50316,1,1,3
101657,1,1,31916,1,1,3
101674,1,1,31216,1,1,3
101677,1,1,31216,1,1,3
101679,1,1,31616,2,2,3
101684,1,1,31716,1,1,2
101689,1,1,31216,1,1,3
101694,1,1,31216,1,1,1
101698,1,1,31216,1,1,4
101706,1,1,31216,1,1,4
101709,1,1,31216,1,1,4
101713,1,1,31216,1,1,4
101715,1,1,31216,1,1,1
101720,1,1,41716,1,1,1
101732,1,1,42316,1,1,3
101734,1,1,31216,1,1,3
101735,1,1,31216,1,1,3
101736,1,1,31216,1,1,3
101739,1,1,31216,1,1,2
101747,1,1,31216,1,1,3
101748,1,1,31216,1,1,3
101761,1,1,31216,1,1,1
101768,1,1,31216,1,1,3
101769,1,1,31216,1,1,3
101780,1,1,31216,1,1,3
101781,1,1,31216,1,1,2
101789,1,1,41716,1,1,1
101793,1,1,31216,1,1,2
101794,1,1,31216,1,1,2
101798,1,1,31916,1,1,3
101808,1,1,42316,1,1,4
101809,1,1,31216,1,1,4
101816,1,1,31616,1,1,4
101827,1,1,31216,1,1,4
101828,1,1,41016,1,1,4
101830,1,1,32616,1,1,4
101843,1,1,31216,1,1,4
101845,1,1,31216,1,1,4
101846,1,1,31216,1,1,4
101847,1,1,31716,1,1,4
101852,1,1,31616,1,1,3
101857,1,1,42316,1,1,1
101859,1,1,31616,1,1,3
101868,1,1,31616,1,1,3
101884,1,1,31616,1,1,2
101885,1,1,31616,1,1,1
101903,1,1,31616,1,1,3
101905,1,1,42316,1,1,2
101906,1,1,31916,1,1,2
101913,1,1,31616,1,1,4
101920,1,1,31616,1,1,3
101926,1,1,31616,1,1,4
101927,1,1,31616,1,1,4
101930,1,1,31616,2,2,4
101933,1,1,31616,1,1,4
101938,1,1,40316,1,1,4
101943,1,1,31616,1,1,2
101946,1,1,32116,1,1,1
101956,1,1,31716,1,1,3
101959,1,1,31916,1,1,2
101963,1,1,31716,1,1,1
101964,1,1,31716,1,1,2
101966,1,1,31716,1,1,1
101973,1,1,31716,1,1,1
101974,1,1,31716,1,1,1
101980,1,1,31716,1,1,3
101983,1,1,32116,1,1,1
101993,1,1,31916,1,1,3
101997,1,1,31716,1,1,1
101998,1,1,31716,1,1,3
102009,1,1,31916,1,1,3
102011,1,1,31716,1,1,1
102012,1,1,31716,1,1,1
102013,1,1,31716,1,1,1
102022,1,1,31716,1,1,2
102023,1,1,32116,1,1,3
102029,1,1,31716,1,1,3
102034,1,1,40216,1,1,2
102035,1,1,31716,1,1,3
102037,1,1,31916,1,1,3
102041,1,1,31716,1,1,2
102049,1,1,31716,1,1,4
102050,1,1,31716,1,1,4
102052,1,1,31916,1,1,4
102054,1,1,41716,1,1,4
102056,1,1,32216,1,1,2
102057,1,1,31716,1,1,4
102059,1,1,40916,1,1,4
102063,1,1,31716,1,1,4
102072,1,1,40916,2,2,4
102077,1,1,31716,1,1,4
102093,1,1,31716,1,1,3
102097,1,1,31716,1,1,4
102098,1,1,31716,1,1,4
102101,1,1,50316,1,1,2
102104,1,1,31916,1,1,1
102124,1,1,31916,1,1,3
102125,1,1,41716,1,1,1
102128,1,1,31916,1,1,3
102134,1,1,31916,1,1,1
102136,1,1,31916,1,1,3
102138,1,1,41716,1,1,2
102140,1,1,31916,1,1,3
102146,1,1,31916,1,1,1
102152,1,1,40216,1,1,2
102156,1,1,31916,1,1,3
102160,1,1,31916,1,1,2
102171,1,1,31916,1,1,1
102188,1,1,32216,1,1,2
102198,1,1,31916,1,1,4
102199,1,1,31916,1,1,2
102200,1,1,31916,1,1,1
102207,1,1,31916,1,1,2
102213,1,1,31916,2,2,3
102215,1,1,40916,1,1,4
102218,1,1,40916,2,2,4
102223,1,1,40316,2,2,4
102229,1,1,32116,1,1,1
102235,1,1,40916,1,1,1
102240,1,1,32116,1,1,3
102243,1,1,32116,1,1,3
102257,1,1,32116,1,1,1
102259,1,1,32116,1,1,2
102261,1,1,40916,1,1,3
102271,1,1,32216,1,1,2
102280,1,1,40316,1,1,2
102282,1,1,41716,1,1,3
102286,1,1,32216,1,1,3
102289,1,1,32216,1,1,2
102295,1,1,32216,1,1,2
102296,1,1,41016,1,1,3
102297,1,1,32216,1,1,3
102298,1,1,32216,1,1,2
102299,1,1,42316,1,1,3
102302,1,1,32216,1,1,2
102321,1,1,32216,1,1,2
102331,1,1,32216,1,1,1
102332,1,1,32216,1,1,1
102333,1,1,32216,1,1,2
102334,1,1,32216,1,1,2
102343,1,1,32216,1,1,3
102351,1,1,50316,1,1,3
102361,1,1,32216,1,1,4
102367,1,1,32616,1,1,1
102372,1,1,40216,1,1,3
102374,1,1,32616,1,1,4
102385,1,1,32616,1,1,4
102399,1,1,40216,1,1,3
102401,1,1,32616,1,1,3
102409,1,1,32616,1,1,2
102412,1,1,40216,1,1,2
102414,1,1,41016,1,1,1
102422,1,1,32616,1,1,4
102435,1,1,41016,1,1,3
102438,1,1,32616,1,1,3
102444,1,1,40216,1,1,3
102445,1,1,50116,1,1,3
102446,1,1,40216,1,1,3
102447,1,1,40216,1,1,3
102455,1,1,50116,1,1,3
102474,1,1,40216,1,1,2
102475,1,1,40216,1,1,3
102482,1,1,40216,1,1,3
102486,1,1,40216,1,1,2
102490,1,1,40216,1,1,3
102492,1,1,40216,1,1,3
102511,1,1,40316,1,1,3
102516,1,1,40316,1,1,3
102518,1,1,40316,1,1,4
102519,1,1,40316,1,1,3
102522,1,1,40316,1,1,3
102528,1,1,41016,1,1,3
102529,1,1,40316,1,1,1
102537,1,1,40916,1,1,1
102543,1,1,40316,1,1,4
102546,1,1,50816,1,1,4
102549,1,1,40316,1,1,4
102552,1,1,40316,1,1,1
102557,1,1,40316,1,1,4
102563,1,1,40316,1,1,3
102570,1,1,41716,1,1,2
102573,1,1,40916,1,1,2
102580,1,1,40916,1,1,3
102592,1,1,40916,1,1,4
102597,1,1,40916,1,1,3
102606,1,1,40916,1,1,4
102611,1,1,42316,1,1,3
102618,1,1,40916,1,1,1
102619,1,1,40916,1,1,4
102622,1,1,40916,1,1,4
102627,1,1,41016,1,1,4
102633,1,1,41016,1,1,3
102638,1,1,41016,1,1,2
102643,1,1,41016,1,1,1
102657,1,1,41016,1,1,3
102666,1,1,42316,1,1,4
102669,1,1,41016,1,1,4
102670,1,1,41016,1,1,4
102688,1,1,41016,1,1,3
102708,1,1,41616,1,1,3
102711,1,1,41616,1,1,4
102714,1,1,41716,1,1,1
102716,1,1,41716,1,1,3
102717,1,1,42316,1,1,4
102723,1,1,41716,1,1,4
102724,1,1,42316,2,2,3
102744,1,1,42316,1,1,2
102753,1,1,50416,1,1,1
102754,1,1,42316,1,1,3
102765,1,1,42316,1,1,3
102768,1,1,42316,1,1,1
102771,1,1,43016,1,1,1
102776,1,1,42316,1,1,3
102786,1,1,43016,1,1,1
102787,1,1,42316,1,1,1
102792,1,1,42316,1,1,3
102796,1,1,50416,1,1,3
102801,1,1,42316,1,1,2
102813,1,1,42316,1,1,1
102814,1,1,42316,1,1,3
102821,1,1,42316,1,1,3
102822,1,1,42316,2,2,1
102825,1,1,43016,1,1,2
102831,1,1,42316,1,1,2
102835,1,1,43016,1,1,1
102845,1,1,42316,1,1,2
102849,1,1,42316,1,1,1
102851,1,1,42316,1,1,1
102869,1,1,42316,1,1,3
102870,1,1,42316,1,1,3
102871,1,1,42316,2,2,3
102879,1,1,42316,1,1,3
102891,1,1,42316,2,2,3
102892,1,1,50216,1,1,3
102899,1,1,42316,1,1,2
102900,1,1,50116,1,1,3
102901,1,1,50116,1,1,3
102904,1,1,50416,1,1,2
102912,1,1,50116,1,1,3
102938,1,1,42316,2,2,2
102940,1,1,42316,1,1,4
102951,1,1,50416,1,1,2
102957,1,1,42316,1,1,4
102958,1,1,43016,1,1,4
102973,1,1,42316,1,1,4
102975,1,1,42316,1,1,1
102978,1,1,42316,1,1,3
102990,1,1,42316,1,1,4
102994,1,1,50116,1,1,4
103005,1,1,42316,1,1,3
103007,1,1,50116,1,1,3
103009,1,1,50816,1,1,4
103013,1,1,50716,2,2,1
103014,1,1,42316,1,1,3
103019,1,1,42316,1,1,3
103025,1,1,42316,1,1,1
103028,1,1,42316,1,1,1
103029,1,1,42316,1,1,2
103032,1,1,42316,1,1,1
103035,1,1,42316,1,1,3
103037,1,1,42316,1,1,3
103047,1,1,42316,1,1,3
103049,1,1,43016,1,1,2
103051,1,1,42316,1,1,2
103052,1,1,42316,1,1,2
103053,1,1,42316,1,1,2
103056,1,1,42316,1,1,3
103060,1,1,42316,1,1,4
103082,1,1,43016,1,1,2
103088,1,1,50316,1,1,3
103094,1,1,43016,1,1,3
103095,1,1,50416,1,1,3
103101,1,1,43016,1,1,3
103107,1,1,43016,1,1,1
103112,1,1,50216,1,1,3
103119,1,1,43016,1,1,1
103120,1,1,50316,1,1,3
103123,1,1,43016,1,1,3
103125,1,1,50216,1,1,1
103128,1,1,50216,1,1,1
103130,1,1,43016,1,1,1
103145,1,1,43016,1,1,2
103148,1,1,43016,1,1,3
103150,1,1,43016,1,1,3
103151,1,1,50216,1,1,1
103160,1,1,50816,1,1,3
103163,1,1,43016,1,1,3
103168,1,1,43016,1,1,1
103170,1,1,43016,1,1,3
103172,1,1,43016,1,1,3
103183,1,1,43016,1,1,2
103187,1,1,43016,1,1,3
103189,1,1,43016,1,1,2
103190,1,1,43016,1,1,3
103191,1,1,50116,1,1,2
103200,1,1,43016,1,1,3
103203,1,1,43016,1,1,2
103204,1,1,50416,1,1,3
103207,1,1,50216,1,1,3
103213,1,1,50416,1,1,3
103214,1,1,43016,1,1,3
103218,1,1,50816,1,1,3
103219,1,1,43016,1,1,3
103223,1,1,43016,1,1,3
103229,1,1,50216,1,1,2
103232,1,1,43016,1,1,1
103236,1,1,43016,1,1,3
103239,1,1,43016,1,1,2
103241,1,1,43016,1,1,3
103252,1,1,43016,1,1,2
103257,1,1,43016,1,1,2
103259,1,1,43016,1,1,3
103265,1,1,43016,1,1,1
103282,1,1,43016,1,1,3
103285,1,1,43016,1,1,4
103289,1,1,43016,1,1,2
103290,1,1,43016,1,1,3
103293,1,1,50816,1,1,4
103297,1,1,43016,1,1,4
103310,1,1,50816,2,2,4
103322,1,1,43016,2,2,4
103328,1,1,50816,1,1,4
103330,1,1,43016,1,1,4
103338,1,1,43016,1,1,4
103341,1,1,43016,1,1,3
103344,1,1,43016,1,1,2
103349,1,1,43016,1,1,3
103350,1,1,43016,1,1,2
103354,1,1,50116,1,1,2
103355,1,1,50116,1,1,1
103360,1,1,50116,1,1,1
103361,1,1,50216,1,1,3
103363,1,1,50116,1,1,1
103365,1,1,50216,1,1,2
103367,1,1,50116,1,1,1
103369,1,1,50116,1,1,3
103373,1,1,50216,1,1,3
103378,1,1,50116,1,1,1
103380,1,1,50116,1,1,3
103386,1,1,50116,1,1,1
103392,1,1,50316,1,1,3
103406,1,1,50116,1,1,3
103415,1,1,50116,1,1,2
103418,1,1,50116,1,1,3
103419,1,1,50116,1,1,2
103427,1,1,50116,1,1,3
103441,1,1,50416,1,1,3
103448,1,1,50116,1,1,2
103452,1,1,50116,1,1,3
103453,1,1,50116,1,1,4
103454,1,1,50116,1,1,3
103458,1,1,50116,1,1,4
103459,1,1,50116,1,1,1
103461,1,1,50116,1,1,2
103479,1,1,50116,1,1,1
103481,1,1,50116,1,1,3
103488,1,1,50116,1,1,2
103490,1,1,50116,1,1,2
103497,1,1,50116,1,1,3
103502,1,1,50116,1,1,4
103503,1,1,50116,1,1,3
103504,1,1,50116,1,1,3
103506,1,1,50216,1,1,2
103509,1,1,50216,1,1,3
103512,1,1,50216,1,1,3
103516,1,1,50216,1,1,3
103517,1,1,50316,1,1,3
103519,1,1,50216,1,1,1
103527,1,1,50216,1,1,3
103537,1,1,50316,1,1,3
103539,1,1,50216,1,1,2
103545,1,1,50216,1,1,1
103550,1,1,50816,1,1,3
103561,1,1,50216,1,1,2
103574,1,1,50216,1,1,3
103577,1,1,50216,1,1,4
103578,1,1,50216,1,1,4
103580,1,1,50216,1,1,4
103587,1,1,50216,1,1,4
103599,1,1,50316,1,1,2
103600,1,1,50316,1,1,2
103604,1,1,50316,1,1,3
103607,1,1,50316,1,1,3
103608,1,1,50316,1,1,3
103610,1,1,50316,1,1,2
103613,1,1,50316,1,1,3
103618,1,1,50316,1,1,3
103620,1,1,50316,1,1,3
103621,1,1,50316,1,1,1
103628,1,1,50316,1,1,1
103629,1,1,50316,1,1,3
103630,1,1,50316,1,1,3
103631,1,1,50416,1,1,3
103639,1,1,50816,1,1,1
103642,1,1,50416,1,1,3
103645,1,1,50416,2,2,3
103646,1,1,50416,1,1,3
103655,1,1,50416,1,1,1
103656,1,1,50416,1,1,3
103660,1,1,50416,2,2,3
103674,1,1,50416,1,1,3
103675,1,1,50416,1,1,3
103677,1,1,50416,1,1,3
103678,1,1,50416,1,1,3
103682,1,1,50416,1,1,1
103686,1,1,50416,1,1,3
103695,1,1,50816,1,1,4
103714,1,1,50816,1,1,4
103726,1,1,50816,1,1,4
103732,1,1,50816,1,1,2
103735,1,1,50816,1,1,4
103739,1,1,50816,1,1,4
103747,1,1,50816,1,1,4
103755,1,1,50816,1,1,4
103756,1,1,50816,1,1,4
103759,1,1,50816,1,1,4
103760,1,1,50816,1,1,4
200002,2,2,30416,1,1,3
200012,2,2,22916,1,1,1
200015,2,2,22916,1,1,3
200018,2,2,30816,1,1,1
200020,2,2,22916,1,1,3
200021,2,2,22916,1,1,3
200024,2,2,22916,1,1,3
200027,2,2,40816,1,1,3
200032,2,2,30116,1,1,3
200034,2,2,30416,2,2,3
200037,2,2,42916,1,1,3
200040,2,2,22916,1,1,3
200041,2,2,22916,1,1,3
200042,2,2,22916,1,1,3
200045,2,2,22916,1,1,3
200051,2,2,22916,1,1,3
200055,2,2,22916,1,1,3
200059,2,2,22916,1,1,2
200060,2,2,30416,1,1,3
200068,2,2,22916,1,1,3
200069,2,2,22916,1,1,2
200072,2,2,22916,1,1,3
200074,2,2,22916,1,1,3
200080,2,2,22916,1,1,3
200089,2,2,22916,1,1,2
200090,2,2,22916,1,1,3
200091,2,2,22916,1,1,3
200096,2,2,22916,1,1,3
200099,2,2,22916,1,1,4
200102,2,2,22916,1,1,3
200103,2,2,22916,1,1,3
200104,2,2,30516,1,1,4
200105,2,2,30316,1,1,3
200110,2,2,30416,1,1,3
200112,2,2,22916,1,1,3
200117,2,2,22916,1,1,1
200122,2,2,22916,1,1,3
200130,2,2,22916,1,1,4
200137,2,2,22916,1,1,1
200141,2,2,22916,1,1,3
200142,2,2,22916,1,1,1
200143,2,2,22916,1,1,1
200150,2,2,22916,1,1,1
200154,2,2,22916,1,1,1
200155,2,2,22916,1,1,3
200162,2,2,22916,1,1,3
200164,2,2,22916,1,1,1
200175,2,2,22916,1,1,2
200179,2,2,30316,2,2,1
