"""psraid"" ""sample"" ""segment"" ""int_date"" ""lang"" ""stz"" ""scregion"" ""sstate"" ""susr"" ""sstratum"" ""form"" ""qs1"" ""qs2a"" ""qs2b"" ""qs3"" ""q1"" ""q2a"" ""q2b"" ""q2c"" ""q4a"" ""q4b"" ""q4c"" ""q4df1"" ""q4ef2"" ""q5f1"" ""q5af1"" ""q6f2"" ""q6af2"" ""hisp"" ""race3m1"" ""race3m2"" ""race3m3"" ""race3m4"" ""q7"" ""q8"" ""q8a"" ""q10a"" ""q10b"" ""q10c"" ""q10d"" ""snsint2"" ""q13a"" ""q13b"" ""q15a"" ""q15b"" ""q16"" ""q18"" ""q19af1"" ""q19bf1"" ""q19cf1"" ""q19df1"" ""q19ef1"" ""q19ff1"" ""q19af2"" ""q19bf2"" ""q19cf2"" ""q19df2"" ""q19ef2"" ""q19ff2"" ""q20a"" ""q20b"" ""q20c"" ""q20d"" ""q20e"" ""q21a"" ""q21b"" ""q21c"" ""q22"" ""q23"" ""q24a"" ""q24bf1"" ""q24cf2"" ""q24d"" ""q24ef1"" ""q24ff2"" ""q27"" ""q30a"" ""q30b"" ""q30c"" ""q33"" ""q34"" ""q35"" ""q36"" ""q42"" ""q43a"" ""q43b"" ""q43c"" ""q43d"" ""sex"" ""age"" ""marital"" ""lwp"" ""educ2"" ""schl"" ""q100"" ""qe3"" ""birth_hisp"" ""q101"" ""relig"" ""chr"" ""born"" ""attend"" ""q102"" ""income"" ""reg"" ""party"" ""partyln"" ""ideo"" ""hh1"" ""hh3"" ""ql1"" ""ql1a"" ""qc1"" ""racethn"" ""raceos"" ""religos"" ""racecmb"" ""usr"" ""cregion"" ""state"" ""density"" ""child"" ""partysum"" ""partyideo"" ""gen5"" ""racethn2"" ""recage"" ""recage2"" ""receduc"" ""adults"" ""iphoneuse"" ""hphoneuse"" ""ll"" ""cp"" ""weight"""
"""11"" 100031 1 1 30416 1 ""E"" 1 42 ""U"" 10 2 NA NA NA NA 2 4 1 3 2 3 2 NA 2 NA NA 1 NA 2 1 NA NA NA NA 2 2 1 1 2 1 2 NA NA 3 3 1 2 NA NA NA NA NA NA 3 9 3 3 1 3 1 1 1 2 1 NA NA NA 3 2 2 NA 1 2 NA 1 4 NA NA NA 2 2 3 3 2 2 2 2 2 1 31 2 2 4 5 NA 3 NA 3 12 NA NA 6 NA 5 1 1 NA 4 3 3 1 NA NA 1 """" """" 1 ""U"" 1 42 5 0 1 2 5 1 2 2 2 3 2 2 1 1 0.446606552841633"
"""12"" 100057 1 1 22916 1 ""E"" 2 26 ""R"" 1 2 NA NA NA NA 2 1 1 4 1 1 1 NA 2 NA NA 1 NA 2 1 NA NA NA NA 2 2 2 3 2 2 1 4 4 3 1 3 3 NA NA NA NA NA NA 3 3 3 3 3 3 2 1 2 2 2 NA NA NA 2 4 2 NA 2 3 NA 1 2 NA NA NA 2 1 3 2 1 2 2 2 2 2 46 6 NA 3 5 NA 4 NA 4 12 NA NA 6 NA 2 1 1 NA 3 3 2 1 NA NA 1 """" """" 1 ""R"" 2 26 1 1 1 2 4 1 4 2 1 2 2 2 1 1 2.93198303191583"
"""13"" 100060 1 1 22916 1 ""C"" 3 47 ""U"" 9 2 NA NA NA NA 1 2 1 2 1 2 2 NA 1 NA NA 2 1 2 9 NA NA NA NA 2 1 1 2 2 1 2 NA NA 3 3 2 3 NA NA NA NA NA NA 1 1 1 3 1 1 2 2 2 2 2 NA NA NA 2 1 2 NA 2 1 NA 2 2 NA NA NA 2 2 1 2 2 2 1 1 2 2 39 1 NA 3 4 NA 3 NA 3 99 1 1 3 NA 1 3 3 9 3 5 3 2 1 NA 9 """" """" 9 ""U"" 3 47 4 2 9 3 4 9 3 2 1 3 1 2 1 0 1.76236678688772"
"""14"" 100077 1 1 30316 1 ""C"" 3 48 ""U"" 9 2 NA NA NA NA 2 1 1 1 4 4 4 NA 3 NA NA 1 NA 2 1 NA NA NA NA 2 1 2 2 4 3 2 NA NA 3 3 1 3 NA NA NA NA NA NA 3 3 9 9 9 3 2 2 2 2 2 NA NA NA 2 2 9 NA 1 1 NA 2 4 NA NA NA 2 3 5 2 3 2 2 2 2 2 93 1 NA 3 NA NA 5 NA 2 1 NA 1 2 NA 5 1 3 9 2 2 2 2 2 NA 1 """" """" 1 ""U"" 3 48 5 0 9 3 1 1 6 4 1 2 1 1 1 0 1.97160383757174"
"""15"" 100081 1 1 22916 1 ""E"" 3 12 ""S"" 10 1 NA NA NA NA 2 2 1 2 1 1 4 4 NA 2 3 NA NA 2 2 NA NA NA 2 3 1 2 1 4 2 2 NA NA 3 2 2 3 3 3 1 1 1 1 NA NA NA NA NA NA 2 2 2 2 1 2 2 2 2 1 2 3 NA 2 2 NA 2 2 1 2 3 NA NA NA 2 2 2 1 2 2 77 5 NA 1 NA NA 3 NA 3 13 NA 2 2 1 99 3 2 NA 3 5 5 2 1 NA 2 """" """" 2 ""S"" 3 12 4 0 2 4 2 2 6 4 1 3 1 2 1 0 0.401860674162257"
"""16"" 100082 1 1 22916 1 ""E"" 2 26 ""S"" 3 2 NA NA NA NA 1 1 1 1 2 4 2 NA 4 NA NA 2 1 2 1 NA NA NA NA 1 1 4 4 4 3 2 NA NA 3 3 1 3 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 1 NA NA NA 2 4 3 NA 3 1 NA 3 4 NA NA NA 3 NA NA NA 2 2 2 2 2 2 39 1 NA 4 5 NA 2 NA 4 12 NA NA 5 NA 3 1 3 9 2 4 3 1 NA NA 1 """" """" 1 ""S"" 2 26 3 1 9 3 4 1 3 2 2 3 2 2 1 1 3.69"
"""17"" 100089 1 1 30816 1 ""E"" 3 45 ""S"" 5 2 NA NA NA NA 2 1 2 2 1 2 1 NA 2 NA NA 1 NA 2 1 NA NA NA NA 1 1 2 1 4 1 1 3 4 2 2 9 2 NA NA NA NA NA NA 3 3 3 1 1 3 2 2 2 2 2 NA NA NA 2 1 2 NA 1 3 NA 2 3 NA NA NA 2 3 2 2 1 1 2 2 2 1 56 1 NA 8 5 NA 1 NA 2 1 NA 2 2 NA 8 1 5 9 9 3 3 1 NA NA 1 """" """" 1 ""S"" 3 45 3 0 9 9 3 1 5 3 3 3 2 2 1 1 1.15859944612528"
"""18"" 100092 1 1 30316 2 ""C"" 3 48 ""S"" 9 1 NA NA NA NA 3 2 2 3 3 2 1 2 NA 9 2 NA NA 1 7 NA NA NA NA 3 2 1 1 2 1 2 NA NA 3 2 1 3 3 3 3 2 3 2 NA NA NA NA NA NA 2 2 2 1 2 NA NA NA 1 3 1 1 NA 1 2 NA 4 NA NA NA 1 3 5 2 1 2 2 2 2 1 76 1 NA 1 NA NA 3 3 3 12 NA NA 3 NA 1 1 1 NA 5 2 2 2 2 NA 3 """" """" 5 ""S"" 3 48 5 0 1 2 2 4 6 4 1 2 1 1 1 0 1.62203339602093"
"""19"" 100093 1 1 22916 1 ""E"" 3 12 ""U"" 7 2 NA NA NA NA 3 2 4 3 2 4 2 NA 3 NA NA 1 NA 2 1 NA NA NA NA 3 2 2 2 2 2 2 NA NA 3 3 3 3 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 2 NA NA NA 2 2 2 NA 2 3 NA 2 4 NA NA NA 3 NA NA NA 2 2 2 2 2 2 79 5 NA 3 NA NA 3 NA 3 1 NA 1 2 NA 99 1 2 NA 3 2 2 1 NA NA 1 """" """" 1 ""U"" 3 12 4 0 2 4 2 1 6 4 1 2 2 2 1 1 1.41799887651632"
"""20"" 100094 1 1 31916 1 ""E"" 1 36 ""U"" 9 2 NA NA NA NA 1 2 1 2 1 3 3 NA 3 NA NA 1 NA 1 7 NA NA NA NA 2 1 3 3 1 9 1 3 4 3 9 1 9 NA NA NA NA NA NA 3 3 3 3 3 3 2 1 2 2 2 NA NA NA 2 4 1 NA 1 2 NA 1 4 NA NA NA 3 NA NA NA 2 2 2 2 2 1 28 1 NA 4 5 NA 1 3 3 2 NA 2 2 NA 3 1 2 NA 3 3 3 1 NA NA 3 """" """" 5 ""U"" 1 36 5 0 2 4 5 4 2 1 2 3 2 2 1 1 0.485446672368391"
"""21"" 100095 1 1 22916 1 ""E"" 3 45 ""R"" 8 1 NA NA NA NA 3 2 2 4 1 1 2 2 NA 9 2 NA NA 2 1 5 NA NA NA 2 5 1 1 4 1 1 1 3 3 3 1 9 3 3 9 3 2 3 NA NA NA NA NA NA 2 1 1 2 2 NA NA NA 2 2 1 1 NA 1 1 NA 2 NA NA NA 1 1 4 4 3 1 1 1 3 1 26 6 NA 3 5 NA 3 NA 4 13 NA 1 1 NA 2 2 3 9 9 2 2 1 NA NA 4 """" """" 4 ""R"" 3 45 1 0 9 3 5 5 2 1 1 2 2 2 1 1 0.856490041258701"
"""22"" 100099 1 1 22916 1 ""C"" 3 28 ""R"" 7 2 NA NA NA NA 1 1 1 9 1 1 1 NA 2 NA NA 3 NA 2 1 NA NA NA NA 1 1 4 4 4 1 1 2 4 3 3 1 3 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 2 NA NA NA 9 4 3 NA 3 1 NA 3 4 NA NA NA 1 2 5 4 4 2 2 2 2 1 35 1 NA 5 5 NA 1 NA 3 1 NA 1 1 NA 99 1 2 NA 2 4 2 1 NA NA 1 """" """" 1 ""R"" 3 28 1 2 2 4 5 1 3 2 2 2 2 2 1 1 0.949877206117829"
"""23"" 100101 1 1 22916 1 ""E"" 3 12 ""S"" 8 1 NA NA NA NA 2 4 1 4 2 3 4 9 NA 1 9 NA NA 2 3 NA NA NA NA 3 2 2 3 4 4 1 9 4 3 9 1 3 2 3 3 3 9 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 1 2 2 1 NA 1 1 NA 2 NA NA NA 3 NA NA NA 2 2 2 2 2 1 46 6 NA 8 5 NA 1 NA 3 12 NA NA 6 NA 8 2 3 9 3 3 3 1 NA NA 4 """" """" 3 ""S"" 3 12 4 0 9 3 4 5 4 2 3 3 2 2 1 1 0.684025000229001"
"""24"" 100107 1 1 30116 1 ""M"" 4 4 ""S"" 7 1 NA NA NA NA 2 2 1 2 2 2 3 2 NA 1 1 NA NA 2 1 NA NA NA NA 3 1 1 2 3 2 2 NA NA 3 2 1 2 2 3 3 1 1 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 2 4 2 1 NA 1 1 NA 3 NA NA NA 3 NA NA NA 1 2 2 2 2 1 75 1 NA 4 NA NA 2 NA 3 2 NA 2 2 NA 6 1 3 1 3 2 2 1 NA NA 1 """" """" 1 ""S"" 4 4 2 0 1 3 2 1 6 4 2 2 2 2 1 1 0.829454282569287"
"""25"" 100111 1 1 31216 1 ""M"" 4 35 ""S"" 7 1 NA NA NA NA 2 1 1 9 1 3 4 3 NA 2 3 NA NA 1 7 NA NA NA NA 1 1 9 9 9 9 2 NA NA 3 3 2 2 1 9 1 1 1 9 NA NA NA NA NA NA 2 9 2 2 1 NA NA NA 9 9 1 1 NA 1 3 NA 2 NA NA NA 9 NA NA NA 2 2 1 1 2 2 66 1 NA 1 NA NA 4 1 5 1 NA 2 1 NA 99 3 4 9 9 9 2 1 NA NA 3 """" """" 5 ""S"" 4 35 1 99 9 9 3 3 6 4 1 2 2 2 1 1 1.07640200376164"
"""26"" 100113 1 1 22916 1 ""C"" 2 17 ""S"" 9 2 NA NA NA NA 2 2 1 2 1 1 1 NA 1 NA NA 2 1 2 1 NA NA NA NA 1 4 1 2 2 1 1 3 3 2 3 3 2 NA NA NA NA NA NA 1 3 9 1 1 1 2 1 1 2 1 NA NA NA 3 2 1 NA 1 1 NA 1 2 NA NA NA 2 2 2 2 2 2 2 2 2 2 34 2 2 6 5 NA 1 NA 4 12 NA NA 5 NA 7 1 2 NA 5 3 2 1 NA NA 1 """" """" 1 ""S"" 2 17 5 1 2 5 5 1 2 2 3 2 2 2 1 1 0.345151642995672"
"""27"" 100115 1 1 30516 1 ""M"" 4 35 ""R"" 10 1 NA NA NA NA 3 3 2 3 1 1 1 1 NA 2 2 NA NA 2 1 NA NA NA NA 1 1 4 3 4 3 1 3 4 3 3 1 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 1 2 2 1 NA NA NA 2 4 2 3 NA 9 3 NA 2 NA NA NA 1 3 3 3 2 2 1 2 2 2 72 5 NA 4 NA NA 3 NA 4 1 NA 2 5 NA 5 1 3 9 3 3 1 2 1 NA 1 """" """" 1 ""R"" 4 35 1 2 9 3 2 1 6 4 2 1 1 2 1 0 0.353957842416344"
"""28"" 100117 1 1 22916 1 ""M"" 4 30 ""R"" 1 1 NA NA NA NA 2 1 1 3 1 2 1 1 NA 2 2 NA NA 2 1 NA NA NA NA 4 NA 1 2 3 1 1 4 4 9 3 1 2 9 9 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 2 9 1 NA 2 1 NA 4 NA NA NA 1 2 2 3 2 2 2 2 2 2 71 1 NA 3 NA NA 5 NA 5 10 NA NA 6 NA 3 1 3 9 3 2 2 1 NA NA 1 """" """" 1 ""R"" 4 30 1 0 9 3 2 1 6 4 1 2 2 2 1 1 3.10426445221403"
"""29"" 100126 1 1 22916 1 ""M"" 4 4 ""U"" 7 1 NA NA NA NA 1 2 1 2 3 2 3 2 NA 2 2 NA NA 2 1 NA NA NA NA 2 2 1 2 3 2 2 NA NA 2 1 1 2 1 1 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 2 1 1 NA 1 2 NA 4 NA NA NA 2 3 2 2 2 2 2 2 2 2 41 1 NA 4 5 NA 1 NA 3 12 NA NA 3 NA 8 1 3 2 2 3 2 1 NA NA 1 """" """" 1 ""U"" 4 4 3 1 2 3 4 1 3 2 2 2 2 2 1 1 3.18816793197984"
"""30"" 100129 1 1 30516 1 ""M"" 4 30 ""R"" 1 2 NA NA NA NA 2 3 2 2 2 3 2 NA 2 NA NA 2 1 2 1 NA NA NA NA 3 2 2 2 3 2 2 NA NA 3 3 2 2 NA NA NA NA NA NA 1 3 1 1 1 3 2 2 2 2 1 NA NA NA 1 1 1 NA 1 3 NA 3 4 NA NA NA 3 NA NA NA 2 2 2 2 2 2 73 1 NA 6 NA NA 5 NA 3 2 NA 1 2 NA 5 1 2 NA 3 3 3 1 NA NA 1 """" """" 1 ""R"" 4 30 1 0 2 4 2 1 6 4 3 3 2 2 1 1 1.40781081722991"
"""31"" 100130 1 1 30516 1 ""M"" 4 35 ""R"" 9 2 NA NA NA NA 1 1 1 1 3 2 1 NA 3 NA NA 2 1 2 1 NA NA NA NA 2 1 2 9 3 2 2 NA NA 2 9 1 9 NA NA NA NA NA NA 9 3 9 3 3 3 2 2 2 2 1 NA NA NA 9 4 2 NA 1 2 NA 1 4 NA NA NA 2 3 3 3 2 2 2 2 2 2 79 5 NA 4 NA NA 3 NA 3 1 NA 1 2 NA 4 1 1 NA 2 1 NA 2 NA NA 1 """" """" 1 ""R"" 4 35 1 0 1 1 2 1 6 4 2 1 1 1 1 0 0.685258414962641"
"""32"" 100134 1 1 22916 1 ""M"" 4 4 ""S"" 7 2 NA NA NA NA 2 1 1 3 1 1 2 NA 3 NA NA 3 NA 2 1 NA NA NA NA 3 2 4 4 3 2 2 NA NA 3 3 1 2 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 1 NA NA NA 9 4 3 NA 1 1 NA 1 4 NA NA NA 1 4 4 4 9 2 2 1 2 1 70 1 NA 6 NA NA 3 NA 2 2 NA 2 2 NA 99 1 9 9 2 2 2 1 NA NA 1 """" """" 1 ""S"" 4 4 3 0 9 9 3 1 6 4 3 2 2 2 1 1 0.686890296310458"
"""33"" 100136 1 1 22916 1 ""E"" 3 24 ""S"" 10 2 NA NA NA NA 2 1 1 2 1 3 2 NA 3 NA NA 1 NA 2 2 NA NA NA 1 3 1 2 1 3 1 1 4 4 2 3 3 1 NA NA NA NA NA NA 3 3 3 1 1 3 2 2 2 2 2 2 2 2 1 1 2 NA 2 3 NA 1 4 1 2 5 3 NA NA NA 1 2 2 2 2 1 18 6 NA 3 1 NA 3 NA 3 13 NA 1 1 2 99 1 2 NA 5 3 2 2 1 NA 2 """" """" 2 ""S"" 3 24 4 1 2 5 5 2 1 1 1 2 1 2 1 0 0.706216386927018"
"""34"" 100142 1 1 32116 1 ""E"" 1 36 ""S"" 1 1 NA NA NA NA 1 1 1 1 1 2 1 2 NA 1 3 NA NA 2 1 NA NA NA NA 4 NA 1 1 2 1 1 3 3 3 3 3 2 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 4 1 1 NA 2 2 NA 4 NA NA NA 3 NA NA NA 2 2 2 2 3 1 58 1 NA 5 5 NA 3 NA 3 1 NA 2 4 NA 6 1 1 NA 2 2 2 1 NA NA 1 """" """" 1 ""S"" 1 36 2 0 1 1 3 1 5 3 2 2 2 2 1 1 1.66137753318188"
"""35"" 100147 1 1 22916 1 ""E"" 3 21 ""R"" 1 1 NA NA NA NA 3 4 1 1 1 1 1 2 NA 2 2 NA NA 2 1 NA NA NA NA 4 NA 1 9 2 9 2 NA NA 3 2 2 2 3 3 9 9 9 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 9 4 9 3 NA 3 1 NA 4 NA NA NA 1 2 4 4 2 2 2 2 2 1 73 1 NA 4 NA NA 3 NA 3 1 NA 2 6 NA 99 1 2 NA 2 2 2 1 NA NA 1 """" """" 1 ""R"" 3 21 1 0 2 4 2 1 6 4 2 2 2 2 1 1 1.1452414999143"
"""36"" 100148 1 1 22916 1 ""E"" 1 34 ""S"" 10 1 NA NA NA NA 2 1 1 1 2 2 1 2 NA 1 3 NA NA 2 1 NA NA NA NA 3 2 4 4 4 4 2 NA NA 1 3 3 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 9 2 9 3 NA 2 1 NA 4 NA NA NA 3 NA NA NA 2 2 2 2 2 2 84 5 NA 3 NA NA 3 NA 3 2 NA 2 1 NA 4 1 1 NA 1 1 NA 1 NA NA 1 """" """" 1 ""S"" 1 34 5 0 1 1 2 1 6 4 1 1 2 2 1 1 0.48647465161553"
"""37"" 100159 1 1 22916 1 ""E"" 1 36 ""S"" 1 1 NA NA NA NA 2 2 2 4 1 3 3 3 NA 1 3 NA NA 2 1 NA NA NA NA 3 1 2 3 2 3 2 NA NA 3 3 2 3 3 3 1 3 3 3 NA NA NA NA NA NA 2 2 2 1 2 NA NA NA 2 2 2 1 NA 1 2 NA 4 NA NA NA 3 NA NA NA 2 2 2 2 2 2 84 3 NA 3 NA NA 5 NA 5 2 NA 1 2 NA 2 2 3 2 3 1 NA 2 NA NA 1 """" """" 1 ""S"" 1 36 1 0 2 3 2 1 6 4 1 1 1 1 1 0 3.69"
"""38"" 100160 1 1 22916 1 ""C"" 3 40 ""S"" 3 1 NA NA NA NA 1 1 1 1 1 2 3 1 NA 1 1 NA NA 2 1 NA NA NA NA 1 1 1 1 4 1 1 3 4 1 3 3 1 3 3 3 3 3 9 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 3 4 1 1 NA 3 1 NA 2 NA NA NA 2 4 4 4 1 2 1 1 2 2 64 1 NA 5 5 NA 5 NA 2 1 NA 1 5 NA 9 3 4 9 9 2 2 1 NA NA 1 """" """" 1 ""S"" 3 40 3 0 9 9 3 1 5 3 2 2 2 2 1 1 2.1720346798967"
